Name,Location,Diam(km),age (Ma)
Jänisjärvi,Russia,14,700
Logoisk,Belarus,15,42.3
Kaluga,Russia,15,380
Ames,"Oklahoma, U.S.A.",16,470
Suavjärvi,Russia,16,2400
Oasis,Libya,18,120
Lawn Hill,"Queensland, Australia",18,515
El'gygytgyn,Russia,18,3.5
Dellen,Sweden,19,89
Obolon',Ukraine,20,169
Logancha,Russia,20,40
Gosses Bluff,"Northern Territory,        Australia",22,142.5
Rochechouart,France,23,214
Lappajärvi,Finland,23,73.3
Ries,Germany,24,15.1
Boltysh,Ukraine,24,65.17
Presqu'ile,"Quebec, Canada",24,500
Haughton,"Nunavut, Canada",24,23
Ust-Kara,Russia,25,70.3
Kamensk,Russia,25,49
Strangways,"Northern Territory,        Australia",25,646
Steen River,"Alberta, Canada",25,95
Clearwater East,"Quebec, Canada",26,290
Mistastin,"Newfoundland/Labrador,        Canada",28,36
Shoemaker (formerly        Teague),"Western Australia,        Australia",30,1630
Azuara,Spain,30,40
Slate Islands,"Ontario, Canada",30,450
Manson,"Iowa, U.S.A.",35,73.8
Clearwater West,"Quebec, Canada",36,290
Carswell,"Saskatchewan, Canada",39,115
Saint Martin,"Manitoba, Canada",40,220
Mj¿lnir,Norway,40,142
Woodleigh,Australia,40,364
Araguainha,Brazil,40,244.4
Montagnais,"Nova Scotia, Canada",45,50.5
Kara-Kul,Tajikistan,52,5
Siljan,Sweden,52,368
Charlevoix,"Quebec, Canada",54,342
Tookoonooka,"Queensland, Australia",55,128
Beaverhead,"Montana, U.S.A.",60,600
Kara,Russia,65,70.3
Morokweng,South Africa,70,145
Puchezh-Katunki,Russia,80,167
Chesapeake Bay,"Virginia, U.S.A.",90,35.5
Acraman,"South Australia,        Australia",90,590
Manicouagan,"Quebec, Canada",100,214
Popigai,Russia,100,35.7
Chicxulub,"Yucatan, Mexico",170,64.98
Sudbury,"Ontario, Canada",250,1850
Vredefort,South Africa,300,2023
