HDI rank,Country,Abbreviation,HDI,Life Expectancy,Mean School yrs 2010,Exp school yrs 2011,GNI/cap2012,GNI rank-HDIrank,NonIncome HDI 2012,Type
183,Burkina Faso,BFA,0.343,55.9,1.3,6.9,1202,-18,0.332,Ranked Country
178,Burundi,BDI,0.355,50.9,2.7,11.3,544,4,0.423,Ranked Country
138,Cambodia,KHM,0.543,63.6,5.8,10.5,2095,9,0.597,Ranked Country
150,Cameroon,CMR,0.495,52.1,5.9,10.9,2114,-4,0.52,Ranked Country
11,Canada,CAN,0.911,81.1,12.3,15.1,35369,5,0.934,Ranked Country
132,Cape Verde,CPV,0.586,74.3,3.5,12.7,3609,-6,0.617,Ranked Country
180,Central African Republic,CAF,0.352,49.1,3.5,6.8,722,1,0.386,Ranked Country
184,Chad,TCD,0.34,49.9,1.5,7.4,1258,-20,0.324,Ranked Country
40,Chile,CHL,0.819,79.3,9.7,14.7,14987,13,0.863,Ranked Country
101,China,CHN,0.699,73.7,7.5,11.7,7945,-11,0.728,Ranked Country
91,Colombia,COL,0.719,73.9,7.3,13.6,8711,-6,0.751,Ranked Country
169,Comoros,COM,0.429,61.5,2.8,10.2,986,4,0.484,Ranked Country
142,Congo,COG,0.534,57.8,5.9,10.1,2934,-5,0.553,Ranked Country
186,Congo (Democratic Republic of the),COD,0.304,48.7,3.5,8.5,319,0,0.404,Ranked Country
62,Costa Rica,CRI,0.773,79.4,8.4,13.7,10863,12,0.816,Ranked Country
168,CÌ«te d'Ivoire,CIV,0.432,56,4.2,6.5,1593,-9,0.444,Ranked Country
47,Croatia,HRV,0.805,76.8,9.8,14.1,15419,4,0.837,Ranked Country
59,Cuba,CUB,0.78,79.3,10.2,16.2,5539,44,0.894,Ranked Country
31,Cyprus,CYP,0.848,79.8,9.8,14.9,23825,4,0.869,Ranked Country
28,Czech Republic,CZE,0.873,77.8,12.3,15.3,22067,10,0.913,Ranked Country
15,Denmark,DNK,0.901,79,11.4,16.8,33518,4,0.924,Ranked Country
164,Djibouti,DJI,0.445,58.3,3.8,5.7,2350,-22,0.435,Ranked Country
72,Dominica,DMA,0.745,77.6,7.7,12.7,10977,-1,0.771,Ranked Country
96,Dominican Republic,DOM,0.702,73.6,7.2,12.3,8506,-11,0.726,Ranked Country
89,Ecuador,ECU,0.724,75.8,7.6,13.7,7471,7,0.772,Ranked Country
112,Egypt,EGY,0.662,73.5,6.4,12.1,5401,-6,0.702,Ranked Country
107,El Salvador,SLV,0.68,72.4,7.5,12,5915,-5,0.723,Ranked Country
136,Equatorial Guinea,GNQ,0.554,51.4,5.4,7.9,21715,-97,0.463,Ranked Country
181,Eritrea,ERI,0.351,62,3.4,4.6,531,3,0.418,Ranked Country
33,Estonia,EST,0.846,75,12,15.8,17402,13,0.892,Ranked Country
173,Ethiopia,ETH,0.396,59.7,2.2,8.7,1017,-2,0.425,Ranked Country
96,Fiji,FJI,0.702,69.4,10.7,13.9,4087,24,0.794,Ranked Country
21,Finland,FIN,0.892,80.1,10.3,16.9,32510,2,0.912,Ranked Country
20,France,FRA,0.893,81.7,10.6,16.1,30277,4,0.919,Ranked Country
106,Gabon,GAB,0.683,63.1,7.5,13,12521,-40,0.668,Ranked Country
165,Gambia,GMB,0.439,58.8,2.8,8.7,1731,-9,0.448,Ranked Country
72,Georgia,GEO,0.745,73.9,12.1,13.2,5005,37,0.845,Ranked Country
5,Germany,DEU,0.92,80.6,12.2,16.4,35431,10,0.948,Ranked Country
135,Ghana,GHA,0.558,64.6,7,11.4,1684,22,0.646,Ranked Country
29,Greece,GRC,0.86,80,10.1,16.3,20511,13,0.899,Ranked Country
63,Grenada,GRD,0.77,76.1,8.6,15.8,9257,21,0.827,Ranked Country
133,Guatemala,GTM,0.581,71.4,4.1,10.7,4235,-14,0.596,Ranked Country
178,Guinea,GIN,0.355,54.5,1.6,8.8,941,-4,0.368,Ranked Country
176,Guinea-Bissau,GNB,0.364,48.6,2.3,9.5,1042,-6,0.373,Ranked Country
118,Guyana,GUY,0.636,70.2,8.5,10.3,3387,11,0.703,Ranked Country
161,Haiti,HTI,0.456,62.4,4.9,7.6,1070,7,0.521,Ranked Country
120,Honduras,HND,0.632,73.4,6.5,11.4,3426,8,0.695,Ranked Country
13,"Hong Kong, China (SAR)",HKG,0.906,83,10,15.5,45598,-6,0.907,Ranked Country
37,Hungary,HUN,0.831,74.6,11.7,15.3,16088,13,0.874,Ranked Country
13,Iceland,ISL,0.906,81.9,10.4,18.3,29176,12,0.943,Ranked Country
136,India,IND,0.554,65.8,4.4,10.7,3285,-3,0.575,Ranked Country
121,Indonesia,IDN,0.629,69.8,5.8,12.9,4154,-3,0.672,Ranked Country
76,Iran (Islamic Republic of),IRN,0.742,73.2,7.8,14.4,10695,-1,0.769,Ranked Country
131,Iraq,IRQ,0.59,69.6,5.6,10,3557,-4,0.623,Ranked Country
7,Ireland,IRL,0.916,80.7,11.6,18.3,28671,19,0.96,Ranked Country
16,Israel,ISR,0.9,81.9,11.9,15.7,26224,13,0.942,Ranked Country
25,Italy,ITA,0.881,82,10.1,16.2,26158,5,0.911,Ranked Country
85,Jamaica,JAM,0.73,73.3,9.6,13.1,6701,14,0.792,Ranked Country
10,Japan,JPN,0.912,83.6,11.6,15.3,32545,11,0.942,Ranked Country
100,Jordan,JOR,0.7,73.5,8.6,12.7,5272,8,0.766,Ranked Country
69,Kazakhstan,KAZ,0.754,67.4,10.4,15.3,10451,8,0.791,Ranked Country
145,Kenya,KEN,0.519,57.7,7,11.1,1541,15,0.588,Ranked Country
121,Kiribati,KIR,0.629,68.4,7.8,12,3079,13,0.701,Ranked Country
12,Korea (Republic of),KOR,0.909,80.7,11.6,17.2,28231,15,0.949,Ranked Country
54,Kuwait,KWT,0.79,74.7,6.1,14.2,52793,-51,0.73,Ranked Country
125,Kyrgyzstan,KGZ,0.622,68,9.3,12.6,2009,24,0.738,Ranked Country
138,Lao People's Democratic Republic,LAO,0.543,67.8,4.6,10.1,2435,2,0.584,Ranked Country
44,Latvia,LVA,0.814,73.6,11.5,14.8,14724,10,0.856,Ranked Country
72,Lebanon,LBN,0.745,72.8,7.9,13.9,12364,-5,0.762,Ranked Country
158,Lesotho,LSO,0.461,48.7,5.9,9.6,1879,-8,0.476,Ranked Country
174,Liberia,LBR,0.388,57.3,3.9,10.5,480,11,0.502,Ranked Country
64,Libya,LBY,0.769,75,7.3,16.2,13765,-8,0.791,Ranked Country
24,Liechtenstein,LIE,0.883,79.8,10.3,11.9,84880,-22,0.832,Ranked Country
41,Lithuania,LTU,0.818,72.5,10.9,15.7,16858,7,0.85,Ranked Country
26,Luxembourg,LUX,0.875,80.1,10.1,13.5,48285,-20,0.858,Ranked Country
151,Madagascar,MDG,0.483,66.9,5.2,10.4,828,28,0.601,Ranked Country
170,Malawi,MWI,0.418,54.8,4.2,10.4,774,10,0.492,Ranked Country
64,Malaysia,MYS,0.769,74.5,9.5,12.6,13676,-7,0.791,Ranked Country
104,Maldives,MDV,0.688,77.1,5.8,12.5,7478,-9,0.715,Ranked Country
182,Mali,MLI,0.344,51.9,2,7.5,853,-4,0.359,Ranked Country
32,Malta,MLT,0.847,79.8,9.9,15.1,21184,9,0.876,Ranked Country
155,Mauritania,MRT,0.467,58.9,3.7,8.1,2174,-12,0.473,Ranked Country
80,Mauritius,MUS,0.737,73.5,7.2,13.6,13300,-17,0.745,Ranked Country
61,Mexico,MEX,0.775,77.1,8.5,13.7,12947,4,0.805,Ranked Country
117,Micronesia (Federated States of),FSM,0.645,69.2,8.8,11.4,3352,14,0.719,Ranked Country
113,Moldova (Republic of),MDA,0.66,69.6,9.7,11.8,3319,19,0.747,Ranked Country
108,Mongolia,MNG,0.675,68.8,8.3,14.3,4245,10,0.746,Ranked Country
52,Montenegro,MNE,0.791,74.8,10.5,15,10471,24,0.85,Ranked Country
130,Morocco,MAR,0.591,72.4,4.4,10.4,4384,-13,0.608,Ranked Country
185,Mozambique,MOZ,0.327,50.7,1.2,9.2,906,-9,0.327,Ranked Country
149,Myanmar,MMR,0.498,65.7,3.9,9.4,1817,5,0.537,Ranked Country
128,Namibia,NAM,0.608,62.6,6.2,11.3,5973,-27,0.611,Ranked Country
157,Nepal,NPL,0.463,69.1,3.2,8.9,1137,11,0.526,Ranked Country
4,Netherlands,NLD,0.921,80.8,11.6,16.9,37282,8,0.945,Ranked Country
6,New Zealand,NZL,0.919,80.8,12.5,19.7,24358,26,0.978,Ranked Country
129,Nicaragua,NIC,0.599,74.3,5.8,10.8,2551,10,0.671,Ranked Country
186,Niger,NER,0.304,55.1,1.4,4.9,701,-4,0.313,Ranked Country
153,Nigeria,NGA,0.471,52.3,5.2,9,2102,-6,0.482,Ranked Country
1,Norway,NOR,0.955,81.3,12.6,17.5,48688,4,0.977,Ranked Country
110,Occupied Palestinian Territory,PSE,0.67,73,8,13.5,3359,20,0.761,Ranked Country
84,Oman,OMN,0.731,73.2,5.5,13.5,24092,-51,0.694,Ranked Country
146,Pakistan,PAK,0.515,65.7,4.9,7.3,2566,-9,0.534,Ranked Country
52,Palau,PLW,0.791,72.1,12.2,13.7,11463,18,0.84,Ranked Country
59,Panama,PAN,0.78,76.3,9.4,13.2,13519,1,0.81,Ranked Country
156,Papua New Guinea,PNG,0.466,63.1,3.9,5.8,2386,-15,0.464,Ranked Country
111,Paraguay,PRY,0.669,72.7,7.7,12.1,4497,4,0.73,Ranked Country
77,Peru,PER,0.741,74.2,8.7,13.2,9306,6,0.78,Ranked Country
114,Philippines,PHL,0.654,69,8.9,11.7,3752,11,0.724,Ranked Country
39,Poland,POL,0.821,76.3,10,15.2,17776,7,0.851,Ranked Country
43,Portugal,PRT,0.816,79.7,7.7,16,19907,0,0.835,Ranked Country
36,Qatar,QAT,0.834,78.5,7.3,12.2,87478,-35,0.761,Ranked Country
56,Romania,ROU,0.786,74.2,10.4,14.5,11011,16,0.836,Ranked Country
55,Russian Federation,RUS,0.788,69.1,11.7,14.3,14461,0,0.816,Ranked Country
167,Rwanda,RWA,0.434,55.7,3.3,10.9,1147,0,0.476,Ranked Country
72,Saint Kitts and Nevis,KNA,0.745,73.3,8.4,12.9,12460,-5,0.763,Ranked Country
88,Saint Lucia,LCA,0.725,74.8,8.3,12.7,7971,1,0.768,Ranked Country
83,Saint Vincent and the Grenadines,VCT,0.733,72.5,8.6,13.3,9367,-1,0.767,Ranked Country
96,Samoa,WSM,0.702,72.7,10.3,13,3928,28,0.8,Ranked Country
144,Sao Tome and Principe,STP,0.525,64.9,4.7,10.8,1864,7,0.579,Ranked Country
57,Saudi Arabia,SAU,0.782,74.1,7.8,14.3,22616,-21,0.774,Ranked Country
154,Senegal,SEN,0.47,59.6,4.5,8.2,1653,4,0.501,Ranked Country
64,Serbia,SRB,0.769,74.7,10.2,13.6,9533,16,0.823,Ranked Country
46,Seychelles,SYC,0.806,73.8,9.4,14.3,22615,-9,0.808,Ranked Country
177,Sierra Leone,SLE,0.359,48.1,3.3,7.3,881,0,0.38,Ranked Country
18,Singapore,SGP,0.895,81.2,10.1,14.4,52613,-15,0.88,Ranked Country
35,Slovakia,SVK,0.84,75.6,11.6,14.7,19696,9,0.872,Ranked Country
21,Slovenia,SVN,0.892,79.5,11.7,16.9,23999,12,0.936,Ranked Country
143,Solomon Islands,SLB,0.53,68.2,4.5,9.3,2172,1,0.572,Ranked Country
121,South Africa,ZAF,0.629,53.4,8.5,13.1,9594,-42,0.608,Ranked Country
23,Spain,ESP,0.885,81.6,10.4,16.4,25947,8,0.919,Ranked Country
92,Sri Lanka,LKA,0.715,75.1,9.3,12.7,5170,18,0.792,Ranked Country
171,Sudan,SDN,0.414,61.8,3.1,4.5,1848,-19,0.405,Ranked Country
105,Suriname,SUR,0.684,70.8,7.2,12.4,7327,-7,0.71,Ranked Country
141,Swaziland,SWZ,0.536,48.9,7.1,10.7,5104,-30,0.515,Ranked Country
7,Sweden,SWE,0.916,81.6,11.7,16,36143,6,0.94,Ranked Country
9,Switzerland,CHE,0.913,82.5,11,15.7,40527,2,0.926,Ranked Country
116,Syrian Arab Republic,SYR,0.648,76,5.7,11.7,4674,-2,0.692,Ranked Country
125,Tajikistan,TJK,0.622,67.8,9.8,11.5,2119,19,0.731,Ranked Country
152,Tanzania (United Republic of),TZA,0.476,58.9,5.1,9.1,1383,10,0.527,Ranked Country
103,Thailand,THA,0.69,74.3,6.6,12.3,7722,-10,0.715,Ranked Country
78,The former Yugoslav Republic of Macedonia,MKD,0.74,75,8.2,13.4,9377,2,0.777,Ranked Country
134,Timor-Leste,TLS,0.576,62.9,4.4,11.7,5446,-29,0.569,Ranked Country
159,Togo,TGO,0.459,57.5,5.3,10.6,928,16,0.542,Ranked Country
95,Tonga,TON,0.71,72.5,10.3,13.7,4153,26,0.807,Ranked Country
67,Trinidad and Tobago,TTO,0.76,70.3,9.2,11.9,21941,-28,0.743,Ranked Country
94,Tunisia,TUN,0.712,74.7,6.5,14.5,8103,-6,0.746,Ranked Country
90,Turkey,TUR,0.722,74.2,6.5,12.9,13710,-32,0.72,Ranked Country
102,Turkmenistan,TKM,0.698,65.2,9.9,12.6,7782,-10,0.727,Ranked Country
161,Uganda,UGA,0.456,54.5,4.7,11.1,1168,5,0.511,Ranked Country
78,Ukraine,UKR,0.74,68.8,11.3,14.8,6428,22,0.813,Ranked Country
41,United Arab Emirates,ARE,0.818,76.7,8.9,12,42716,-31,0.783,Ranked Country
26,United Kingdom,GBR,0.875,80.3,9.4,16.4,32538,-5,0.886,Ranked Country
3,United States,USA,0.937,78.7,13.3,16.8,43480,6,0.958,Ranked Country
51,Uruguay,URY,0.792,77.2,8.5,15.5,13333,11,0.829,Ranked Country
114,Uzbekistan,UZB,0.654,68.6,10,11.6,3201,19,0.74,Ranked Country
124,Vanuatu,VUT,0.626,71.3,6.7,10.6,3960,-1,0.672,Ranked Country
71,Venezuela (Bolivarian Republic of),VEN,0.748,74.6,7.6,14.4,11475,-2,0.774,Ranked Country
127,Viet Nam,VNM,0.617,75.4,5.5,11.9,2970,9,0.686,Ranked Country
160,Yemen,YEM,0.458,65.9,2.5,8.7,1820,-7,0.474,Ranked Country
163,Zambia,ZMB,0.448,49.4,6.7,8.5,1358,0,0.483,Ranked Country
172,Zimbabwe,ZWE,0.397,52.7,7.2,10.1,424,14,0.542,Ranked Country
