Item,Servingsize,Calories,Fatcal,Fat,Sat,Transfat(g),Chol(mg),Sodium(mg),Carb(g),Fiber(g),Sugar(g),Protein
TENDERGRILL»ChickenGardenSalad,286,230,70,8,3.5,0,85,930,9,3,3,34
TENDERCRISP_ChickenGardenSalad,284,410,200,23,6,0,65,1060,27,4,5,27
GardenSalad(nochicken),162,70,35,4,2.5,0,10,100,7,3,2,4
SideSalad,99,40,20,2,1,0,5,45,2,1,0,3
BK»BreakfastBowl,243,540,370,42,13,0.5,375,1020,17,2,2,24
BK_BreakfastMuffinSandwich,137,410,230,26,9,0.5,125,860,24,1,1,17
BK_KidsBreakfastMuffinSandwich,93,240,100,11,4,0,95,550,23,1,2,9
Bk»UltimateBreakfastPlatter,487,1310,650,72,26,1,455,2490,134,5,41,32
BK»BreakfastPlatter,301,810,480,54,22,1,360,1790,57,4,5,25
BK»BreakfastCiabattaClubSandwich,219,480,200,23,7,0,210,1270,41,2,9,24
EnormousOmeletSandwich,266,760,266,44,15,1,405,1840,44,2,8,35
CROISSAN'WICH_Egg&Cheese,115,300,140,16,7,0,180,690,26,0,5,11
CROISSAN'WICH_Sausage&Cheese,106,380,220,24,10,0,50,780,26,0,3,14
CROISSAN'WICH_SausageEgg&Cheese,159,460,280,31,11,0.5,215,1000,27,0,5,19
CROISSAN'WICH_HamEgg&Cheese,149,330,150,17,7,0,200,1110,27,0,5,18
"CROISSAN'WICH_Bacon,Egg&Cheese",122,340,170,19,8,0,190,840,26,0,5,14
"DOUBLECROISSAN'WICH»w/Sausage,Egg&Cheese",215,680,440,49,18,1,255,1520,29,0,5,29
"DOUBLECROISSAN'WICH»w/BaconEgg,&Cheese",142,420,230,25,11,0.5,210,1200,27,0,6,20
DOUBLECROISSAN'WICH»w/HamEgg&Cheese,196,410,190,22,10,0.5,230,1750,28,0,6,26
"DOUBLECROISSAN'WICH»w/SausageBaconEgg,&Cheese",179,550,340,37,15,1,235,1360,28,0,5,24
DOUBLECROISSAN'WICH»w/HamBaconEgg&Cheese,169,420,210,24,10,0.5,220,1480,28,0,6,23
"DOUBLECROISSAN'WICH»w/HamSausageEgg,&Cheese",206,550,320,35,14,1,240,1640,28,0,6,28
CheesyBaconBKWRAPPER»,137,380,210,24,7,0.5,185,1020,28,2,2,13
SausageBiscuit,126,420,240,27,15,0.5,35,1090,32,1,3,13
HamEgg&CheeseBiscuit,164,400,200,22,15,0.5,185,1430,33,1,5,16
SausageEgg&CheeseBiscuit,191,550,330,37,19,1,210,1520,34,1,4,20
BaconEgg&CheeseBiscuit,155,420,220,25,16,1,185,1360,34,1,5,16
Pancakes(3)andBreakfastSyrup,187,500,170,19,4.5,0,95,700,77,1,36,7
PancakePlatterw/Sausage&BreakfastSyrup,231,670,300,34,9,0,125,1010,78,1,36,14
SideofEggs,96,160,110,12,3,0,330,320,3,0,2,10
SideofSouthwestPotatoes,77,90,30,3.5,1,0,0,220,12,2,1,2
HashBrownsSmall,84,250,150,16,3.5,0,0,410,24,3,0,2
HashBrownsMedium,168,500,290,33,7,0,0,810,48,7,0,4
HashBrownsLarge,224,670,390,44,9,0,0,1080,65,9,0,5
MiniBlueberryBiscuitswithIcing,113,390,140,15,15,0,0,830,57,1,30,5
Ciniminis(4),108,400,160,18,7,0,20,380,52,2,19,7
FrenchToastSticks(3piece),65,230,100,11,2,0,0,260,29,1,8,3
FrenchToastSticks(5piece),109,380,160,18,3,0,0,430,49,2,13,5
FrenchToastSticksPlatterw/bacon&Syrup,159,550,200,22,4.5,0,10,650,79,2,31,10
FrenchToastSticksPlatterw/sausage&Syrup,193,670,300,33,8,0,35,760,80,2,30,13
ScrambledEggPlatterw/bacon,237,630,340,38,9,0.5,375,1110,50,2,4,22
ScrambledEggPlatterw/sausage,271,720,430,47,14,0,395,1230,50,3,4,25
Biscuits(2)&SausageGravyPlatter,334,680,310,35,28,1.5,20,2350,76,2,6,16
Biscuit_w/ChickenFri[er(ChickenBiscuit),139,400,180,20,12,0,20,1320,39,1,3,15
Biscuitw/BreakfastSteak,211,650,350,38,21,0.5,205,1780,50,2,5,21
Biscuitw/CountryHam&EggandCheese,183,470,240,26,16,0.5,210,2010,33,1,4,18
"BreakfastBurritoSausage,Egg,Cheese&Salsa",168,440,260,29,10,0.5,175,1120,25,1,2,20
"BreakfastBurritoPotatoEgg,Cheese&Salsa",141,320,160,17,6,0,140,900,29,2,2,13
"BreakfastBurritoBacon,EggCheese,&Salsa",129,300,140,16,6,0,145,910,24,1,2,15
DanishApple,128,470,200,22,10,0,5,520,62,1,29,6
MuffinBlueberry,113,410,210,23,4.5,0,85,400,48,2,35,5
DutchApplePie,107,320,130,14,6,0,0,300,46,1,23,2
HERSHEY_'SSundaePie,79,300,160,18,12,0,10,210,31,1,22,3
FUNNELCAKESTICKS(9pc),85,300,100,11,3,0,10,210,49,1,30,2
SoftServeCone,133,180,65,7,4,0,25,110,29,0,24,4
CaramelSundae,173,300,60,7,5,0,25,260,55,0,39,5
ChocolateFudgeSundae,173,290,70,8,7,0,20,230,53,1,45,6
ChocolateChipCookies(2),76,330,140,15,8,0,20,250,47,1,29,3
OatmealRaisinCookies(2),76,310,120,13,8,0,20,260,46,3,26,4
FatFREEMilk(8oz),,90,0,0,0,0,5,125,13,0,12,9
1%LowFatChocolateMilk(8oz),,160,25,2.5,1.5,0,15,150,26,1,25,8
VanillaMilkShake12fl oz,,350,100,11,8,0,40,290,57,0,48,8
ChocolateMilkShake12fl oz,,400,100,11,8,0,40,330,68,0,58,8
StrawberryMilkShake12fl oz,,390,100,11,8,0,40,290,68,0,57,8
