Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions,Opened
Steel Eel,SeaWorld Of Texas,Steel,65,150,150,3700,180,0,1999
Texas Giant,Six Flags Over Texas,Wood,65,143,137,4920,150,0,1990
Beast,Paramount's Kings Island,Wood,64.8,105,141,7400,220,0,1979
Chang,Six Flags Kentucky Kingdom,Steel,63,154,144,4155,180,1,1997
Scream!,Six Flags Magic Mountain,Steel,63,150,141,3985,180,1,2003
Tennessee Tornado,Dollywood,Steel,63,163,128,2682,108,1,1999
Colossus,Six Flags Magic Mountain,Wood,62,125,115,4325,150,0,1979
Screamin' Eagle,Six Flags St. Louis,Wood,62,110,92,3872,150,0,1976
Hangman,Wild Adventures,Steel,55,115,95,2170,125,1,1999
Hayabusa,tokyo SummerLand,Steel,60.3,137.8,124.67,2559.1,,0,1992
Hurricane,Myrtle Beach Pavilion,Wood,55,101.5,100,3800,120,0,2000
Invertigo,Paramount's Great America,Steel,55,138,138,985,90,1,1998
Iron Wolf,Six Flags Great America,Steel,55,100,90,2900,120,1,1990
Kong,Six Flags Marine World,Steel,55,115,95,2170,125,1,1998
Mind Eraser,Six Flags America,Steel,55,115,95,2170,125,1,1995
Silver Bullet,Frontier City,Steel,55,83,75,1942,75,1,1909
Starliner,Miracle Strip Amusement Park,Wood,55,70,76,2640,,0,1909
T2,Six Flags Kentucky Kingdom,Steel,55,115,95,2170,125,1,1909
Thunderbolt,Kennywood Park,Wood,55,70,95,2887,90,0,1909
Timber Wolf,Worlds of Fun,Wood,53,100,95,4230,133,0,1989
Wild One,Six Flags America,Wood,53,98,88,4000,150,0,1986
Cheetah,Wild Adventures,Wood,52,92,90,2680,,0,2001
Cannon Ball,Lake Winnepesaukah,Wood,50,70,70,2272,,0,1967
Coaster Thrill Ride,Puyallup Fair,Wood,50,55,52,2650,105,0,1935
Comet,Hersheypark,Wood,50,84,78,3360,105,0,1946
New Mexico Rattler,Cliff's Amusement Park,Wood,47,80,75,2750,75,0,2002
Corkscrew,Silverwood Theme Park,Steel,46,70,62,1250,,1,1990
Afterburner,Fun Spot,Steel,45,56,47,635,66,1,1991
Whizzer,Six Flags Great America,Steel,42,70,64,3100,120,0,1976
Canyon Blaster,Adventuredome,Steel,41,94,66,2423,60,1,1993
Blue Streak,Cedar Point,Wood,40,78,72,2558,105,0,1964
Tower of Terror,Dreamworld,Steel,*100,377.33,328.1,1235,28,0,1997
Steel Dragon 2000,Nagashima Spa Land,Steel,95,318.25,306.75,8133.1,,0,2000
Fujiyama,Fuji-Q Highlands,Steel,80.8,259.2,229.7,6708.67,216,0,1996
Thunder Dolphin,LaQua,Steel,80.8,262.5,218.1,3500,,0,2003
Titan,Space World,Steel,71.5,166,178,5019.67,180,0,1994
Oblivion,Alton Towers,Steel,68,65,180,1222,,0,1998
Stunt Fall,Warner Bros. Movie World,Steel,65.6,191.6,177,1204,92,1,2002
Hayabusa,Tokyo SummerLand,Steel,60.3,137.8,124.67,2559.1,108,0,1992
Top Gun,Paramount Canada's Wonderland,Steel,56,102,93,2170,125,1,1995
Wild Beast,Paramount Canada's Wonderland,Wood,*56,415,78,3150,150,0,1981
Apocalypse,Six Flags America,Steel,55,100,90,2900,120,1,2012
Apocalypse,Lunapark,Steel,40,75,68,2400,,1,2012
Búmeran,Parque Diversiones,Steel,47,116.5,,935,108,1,2012
Dwervelwind,Toverland,Steel,43.5,65.6,,1640.4,112,0,2012
Goliath,Six Flags New England,Steel,65.6,191.6,177,1204,92,1,2012
Iron Shark,Galveston Island Historic Pleasure Pier,Steel,52,100,,1246,60,1,2012
Polar X-plorer,Legoland Billund,Steel,40.4,65.6,,1633.8,,0,2012
Roller Coaster,Yexian Park,Steel,32.9,65.6,,2673.9,,0,2012
Roller Coaster,Zorky's Planet,Steel,21.8,19,,410.1,,0,2012
Seven Ring Suspended Looping Coaster,Jinling Happy World,Steel,49.7,108.3,,2585.3,120,1,2012
Shambhala,PortAventura Park,Steel,83.3,249.3,255.9,5131.3,180,0,2012
Skyrush,Hersheypark,Steel,75,200,,3600,,0,2012
Stinger,Dorney Park & Wildwater Kingdom,Steel,50,131.3,,1013.8,90,1,2012
Stress Express,Fantawild Adventure,Steel,47,116.5,,935,108,1,2012
Superman Ultimate Flight,Six Flags Discovery Kingdom,Steel,62,150,,863,,1,2012
Suspended Roller Coaster,Sino Wonderland,Steel,49.7,108.3,95.2,2624.7,130,1,2012
Terror Twister,Fantawild Adventure,Steel,65.3,151.6,,492.2,50,1,2012
Triops,Bagatelle,Steel,50,131.3,,1013.8,90,1,2012
Twisted Coaster,HotZone,Steel,17.4,26.3,,574.2,,0,2012
Veil of Dark,Tokyo Joypolis,Steel,23.6,16.4,,984.3,,1,2012
Wild West Express,Glenwood Caverns Adventure Park,Steel,16.2,10.8,,197.5,,0,2012
Wodan Timbur Coaster,Europa Park,Wood,62.1,131.3,,3444.9,205,0,2012
Astro Express,Planet Infiniti,Steel,29.1,34.8,,990.8,,1,2011
BuzzSaw,Dreamworld,Steel,65.3,151.6,,492.2,50,1,2011
Cagliostro,Rainbow MagicLand,Steel,36,55.8,,1410.8,75,0,2011
Cheetah Hunt,Busch Gardens Tampa,Steel,60,102,130,4429,,1,2011
Clouds of Fairyland,World Joyland,Steel,65.3,151.6,,492.2,60,1,2011
Dare Devil Dive,Six Flags Over Georgia,Steel,52,95,,2099,,1,2011
Dizz,Bobbejaanland,Steel,34.2,55.8,,1410.8,,0,2011
Extreme Rusher,Happy Valley,Steel,83,170.6,196.8,2788.8,,0,2011
Freischütz,Bayern Park,Steel,49.7,78.8,,1584.7,,1,2011
Giant Inverted Boomerang,Jin Jiang Action Park,Steel,65.6,191.6,177,1204,92,1,2011
Gotham City Gauntlet Escape from Arkham Asylum,Six Flags New England,Steel,28,49.3,,1213.9,92,0,2011
Green Lantern,Six Flags Great Adventure,Steel,63,154,144,4155,150,1,2011
Green Lantern: First Flight,Six Flags Magic Mountain,Steel,37,107,,825,,0,2011
Gwazi,Lion Park Resort,Steel,47.9,80.4,,1942.3,120,1,2011
Hanging Roller Coaster,Crab Island Resort,Steel,49.7,108.3,95.2,2624.7,130,1,2011
LEGO TECHNIC Test Track,Legoland Florida,Steel,35,51.8,49.8,1312.3,95,0,2011
Motorbike Roller Coaster,Happy World,Steel,44.7,47.1,,1960.7,,0,2011
Raptor,Gardaland,Steel,55.9,108.3,,2526.3,90,1,2011
Rockstar Coaster,Fun Spot USA,Steel,29.1,42.7,,1377.9,90,0,2011
Shock,Rainbow MagicLand,Steel,59,114.8,,2460.7,80,1,2011
Sky Scrapper,World Joyland,Steel,54.7,104.3,,2805.1,126,1,2011
Soarin' Eagle,Scream Zone,Steel,25.7,50,,1282.8,48,1,2011
Spinner,Skara Sommarland,Steel,22.4,36.4,,984.3,60,0,2011
Suspended Coaster,Hangzhou Paradise,Steel,49.7,108.3,95.2,2624.7,130,1,2011
Takabisha,Fuji-Q Highland,Steel,62.1,141.1,,3280.8,112,1,2011
Tiger Express,Mer de Sable,Steel,28,45.9,,1213.9,85,0,2011
Ukko,Linnanmäki,Steel,65.3,151.6,,492.2,60,1,2011
Untamed,Canobie Lake Park,Steel,43.5,72.2,,1184.4,,1,2011
Wang Zhong Wang,Tianjin Shuishang Park,Steel,49.7,108.3,95.2,2624.7,130,1,2011
Yamaha Racing Coaster,Trans Studio Indoor Theme Park,Steel,62.1,164.1,,902.3,,1,2011
Big Air,E-DA Theme Park,Steel,67.1,209.3,,541.3,,0,2010
Cobra,Conny-Land,Steel,52.8,137.8,,705.4,,1,2010
Dragon Rider,Floraland,Steel,46.6,105,,2585.3,160,1,2010
Dream Coaster,Dream City,Steel,43.5,82,,1263.1,45,1,2010
Ednör - L'Attaque,La Ronde,Steel,49.7,109.3,,2260.5,96,1,2010
Formula Rossa,Ferrari World Abu Dhabi,Steel,149.1,170.6,,6561.7,,0,2010
Golden Whirlwind,Fantawild Dream Park,Steel,43.5,75.5,,1624,90,1,2010
Holly's Wilde Autofahrt,Holiday Park,Steel,28,49.3,,1213.9,94,0,2010
Huracan,Belantis,Steel,52.8,105,,1837.3,90,1,2010
Inertia Airplane Car,Kaeson Youth Park,Steel,25.7,50,,1282.8,,1,2010
Intimidator,Carowinds,Steel,75,232,211,5316,213,0,2010
Intimidator 305,Kings Dominion,Steel,90,305,300,5100,180,0,2010
Max Speed,Suzhou Amusement Land,Steel,49.7,147.7,114.8,876,100,1,2010
Monster,Walygator Parc,Steel,55.9,131.3,,3937,148,1,2010
Sky Rocket,Kennywood,Steel,50,95,,2100,65,1,2010
Tuff-Tuff Tåget,Gröna Lund,Steel,4.5,8,,262.5,,0,2010
Vertigo,Zoomarine,Steel,47.9,80.4,,1942.3,90,1,2010
Anubis: The Ride,Plopsaland De Panne,Steel,55.9,111.6,,1968.5,,1,2009
Apocalypse the Ride,Six Flags Magic Mountain,Wood,50.1,95,87.3,2877,180,0,2009
blue fire Megacoaster,Europa Park,Steel,62.1,124.7,,3464.6,150,1,2009
Carolina Cobra,Carowinds,Steel,47,116.5,,935,108,1,2009
Diamondback,Kings Island,Steel,80,230,215,5282,180,0,2009
Dragon in Clouds,Happy Valley,Steel,53.7,117.8,111.8,2454.1,92,1,2009
Falcon,Duinrell,Steel,43.5,72.2,,1184.4,,1,2009
Fly Over Mediterranean,Happy Valley,Steel,52.8,101.7,98.4,2477,,0,2009
Hand Roller Coaster,Harbin Amusement Park,Steel,49.7,108.3,95.2,2624.7,130,1,2009
Hanging Roller Coaster,Shenyang Botanical Garden,Steel,49.7,108.3,95.2,2624.7,130,1,2009
Insane,Gröna Lund,Steel,37.3,116.5,,820.3,,0,2009
iSpeed,Mirabilandia,Steel,74.6,180.4,,3280.8,,1,2009
Manta,SeaWorld Orlando,Steel,56,140,113,3359,155,1,2009
Mega-Lite,Happy Valley,Steel,52.8,101.7,98.4,2477,,0,2009
Spaccatempo,Miragica,Steel,28.6,42.7,,1036.8,,0,2009
Stingray,Giant Wheel Park of Suzhou,Steel,46.6,103.7,,1213.9,,1,2009
Vértigo,Parque de Atracciones de Madrid,Steel,28,45.9,,1213.9,85,0,2009
Wild Mouse,Funtown Splashtown U.S.A.,Steel,28,49.3,,1213.9,70,0,2009
Abyss,Adventure World,Steel,52.8,98.4,100,2066.9,120,1,2013
Bad Trip,Europark,Steel,29.1,45.9,,1377.9,,0,2013
Boomerang,Six Flags St. Louis,Steel,47,116.5,,935,108,1,2013
Crazy Coaster,Loca Joy Holiday Theme Park,Steel,52.8,108.3,,2870.8,,1,2013
Deep Space,Adlabs Imagica,Steel,44.7,52.5,,1574.8,,1,2013
FamilyCo Express,Happy Valley,Steel,43.5,49.3,,1036.8,47,1,2013
FunCoaster,Funplex,Steel,26.7,36.1,,1017.1,100,0,2013
GateKeeper,Cedar Point,Steel,67,170,164,4164,160,1,2013
Hero,Flamingo Land Theme Park & Zoo,Steel,25.7,50,,1282.8,,1,2013
Insider,Wiener Prater,Steel,22.4,36.4,,984.3,68,0,2013
Iron Rattler,Six Flags Fiesta Texas,Steel,70,179,171,3266,,1,2013
Karacho,Erlebnispark Tripsdrill,Steel,62.1,98.4,,2296.6,,1,2013
Magic Ring Vertical Coaster,Chuanlord Holiday Manor,Steel,65.3,151.6,,590.6,,1,2013
Nitro,Adlabs Imagica,Steel,65.2,132,,2800,150,1,2013
Outlaw Run,Silver Dollar City,Wood,68,107,162,2937,87,1,2013
Rainier Rush,Washington State Fair,Steel,45,63,,1775,,1,2013
Sky Spin,Skyline Park,Steel,37.3,50.8,,1391.1,80,0,2013
Stress Express,Fantawild Dream Park,Steel,47,131.3,,935,108,1,2013
Suspended Looping Coaster Over Water,Century Amusement Park,Steel,49.7,108.3,,2559.1,,1,2013
Terror Twister,Nantong Adventure Land,Steel,65.3,151.6,,492.2,50,1,2013
Terror Twister,Fantawild Dream Park,Steel,65.3,151.6,,492.2,50,1,2013
Banshee,Kings Island,Steel,68,167,150,4124,160,1,2014
blue fire Megacoaster,Euro Park,Steel,62.1,124.7,,3464.6,150,1,2014
El Loco,Adventuredome,Steel,45,90,,1300,73,1,2014
Flug der Dämonen,Heide Park Resort,Steel,62.1,131.3,,2532.8,180,1,2014
Helix,Liseberg,Steel,62.1,134.5,,4530.8,130,1,2014
Parrot Coaster,Chimelong Ocean Kingdom,Steel,67.1,164.1,,4192.9,,1,2014
Sky Scream,Holiday Park,Steel,62,150,,863,,1,2014
Twist Coaster Robin,Yomiuriland,Steel,38.5,62.3,,1026.9,,1,2014
Twister,Euro Park,Steel,46.6,105,,2585.3,160,1,2014
