Passengers,Year,Month,Year Numeric
870658,2001,12,2001.916667
838343,2002,1,2002
797153,2002,2,2002.083333
973479,2002,3,2002.166667
1000269,2002,4,2002.25
1081405,2002,5,2002.333333
1136052,2002,6,2002.416667
1161236,2002,7,2002.5
1284044,2002,8,2002.583333
1047201,2002,9,2002.666667
1112269,2002,10,2002.75
1062840,2002,11,2002.833333
1140614,2002,12,2002.916667
1022609,2003,1,2003
940305,2003,2,2003.083333
1055701,2003,3,2003.166667
1068668,2003,4,2003.25
1148742,2003,5,2003.333333
1219386,2003,6,2003.416667
1298741,2003,7,2003.5
1320196,2003,8,2003.583333
1081156,2003,9,2003.666667
1149515,2003,10,2003.75
1109733,2003,11,2003.833333
1133611,2003,12,2003.916667
984729,2004,1,2004
989779,2004,2,2004.083333
1138801,2004,3,2004.166667
1191234,2004,4,2004.25
1204232,2004,5,2004.333333
1295198,2004,6,2004.416667
1342773,2004,7,2004.5
1356100,2004,8,2004.583333
1108418,2004,9,2004.666667
1191259,2004,10,2004.75
1149876,2004,11,2004.833333
1145928,2004,12,2004.916667
1036080,2005,1,2005
1007775,2005,2,2005.083333
1227345,2005,3,2005.166667
1171402,2005,4,2005.25
1259784,2005,5,2005.333333
1309569,2005,6,2005.416667
1388601,2005,7,2005.5
1385783,2005,8,2005.583333
1169244,2005,9,2005.666667
1188663,2005,10,2005.75
1144490,2005,11,2005.833333
1128839,2005,12,2005.916667
1027963,2006,1,2006
995196,2006,2,2006.083333
1182653,2006,3,2006.166667
1198512,2006,4,2006.25
1235532,2006,5,2006.333333
1323017,2006,6,2006.416667
1326769,2006,7,2006.5
1362499,2006,8,2006.583333
1151885,2006,9,2006.666667
1235980,2006,10,2006.75
1199444,2006,11,2006.833333
1194219,2006,12,2006.916667
1058319,2007,1,2007
1012664,2007,2,2007.083333
1188511,2007,3,2007.166667
1224491,2007,4,2007.25
1234736,2007,5,2007.333333
1344308,2007,6,2007.416667
1426161,2007,7,2007.5
1465539,2007,8,2007.583333
1171306,2007,9,2007.666667
1194720,2007,10,2007.75
1161746,2007,11,2007.833333
1130988,2007,12,2007.916667
991486,2008,1,2008
953677,2008,2,2008.083333
1118886,2008,3,2008.166667
956753,2008,4,2008.25
1006429,2008,5,2008.333333
1049339,2008,6,2008.416667
1056963,2008,7,2008.5
1069670,2008,8,2008.583333
829001,2008,9,2008.666667
873196,2008,10,2008.75
771303,2008,11,2008.833333
797753,2008,12,2008.916667
665909,2009,1,2009
654010,2009,2,2009.083333
766348,2009,3,2009.166667
793354,2009,4,2009.25
795484,2009,5,2009.333333
850794,2009,6,2009.416667
881551,2009,7,2009.5
878296,2009,8,2009.583333
781428,2009,9,2009.666667
836536,2009,10,2009.75
785342,2009,11,2009.833333
816229,2009,12,2009.916667
712639,2010,1,2010
648044,2010,2,2010.083333
781414,2010,3,2010.166667
778865,2010,4,2010.25
792823,2010,5,2010.333333
865008,2010,6,2010.416667
884639,2010,7,2010.5
896099,2010,8,2010.583333
782489,2010,9,2010.666667
827632,2010,10,2010.75
779281,2010,11,2010.833333
793400,2010,12,2010.916667
693666,2011,1,2011
644857,2011,2,2011.083333
750768,2011,3,2011.166667
719894,2011,4,2011.25
775434,2011,5,2011.333333
819418,2011,6,2011.416667
835282,2011,7,2011.5
855290,2011,8,2011.583333
764110,2011,9,2011.666667
795824,2011,10,2011.75
797859,2011,11,2011.833333
814168,2011,12,2011.916667
711662,2012,1,2012
686517,2012,2,2012.083333
801123,2012,3,2012.166667
827046,2012,4,2012.25
859667,2012,5,2012.333333
895007,2012,6,2012.416667
960283,2012,7,2012.5
969898,2012,8,2012.583333
822852,2012,9,2012.666667
856253,2012,10,2012.75
838196,2012,11,2012.833333
812360,2012,12,2012.916667
710618,2013,1,2013
666616,2013,2,2013.083333
804197,2013,3,2013.166667
795111,2013,4,2013.25
847446,2013,5,2013.333333
867026,2013,6,2013.416667
920206,2013,7,2013.5
900761,2013,8,2013.583333
782027,2013,9,2013.666667
810720,2013,10,2013.75
782489,2013,11,2013.833333
.,2013,12,2013.916667
