City,Food Costs($),Womens Clothing($),Mens Clothing($),iPhone 4S(min),Clothing Index,Hours Worked,Wage Gross,Wage Net,Vacation Days,COL (Excl. rent),COL (incl. rent),Pur Power Gross,Pur Power Net,Pur Power Annual,Big Mac(min),Bread(kg in min),Rice(kg in min),Goods and Services($),Good and Services Index,Food  Index
Los Angeles,502,710,1240,33,125.8,1943,86.3,80.9,13,75.8,68.6,113.9,106.8,98.4,11,18,6,2985,75.8,90.9
Luxembourg,525,960,1440,29.5,154.2,1788,105.4,109.7,25,94.4,85.4,111.7,116.2,87,11,9,10,3716,94.4,95
Lyon,477,740,1180,52.5,123.3,1642,64.2,64.7,27,78.4,68.8,81.9,82.5,65.6,17,10,13,3087,78.4,86.4
Madrid,432,580,910,53,95.8,1734,57,57.9,30,69.6,61.6,81.8,83.1,67,18,10,6,2742,69.6,78.3
Manama,278,390,510,72.5,57.5,1989,30.5,38.8,22,54,49.5,56.4,71.9,66.4,20,6,10,2127,54,50.4
Manila,293,140,270,435,26.7,2246,8,8.1,11,41.5,35.8,19.3,19.5,19.8,73,70,28,1634,41.5,53
Mexico City,260,620,930,219.5,100,2375,13.7,15.1,6,51.2,45.7,26.8,29.6,33.1,48,26,22,2015,51.2,47.1
Miami,499,630,880,32.5,97.5,1939,81.8,79.9,12,77,70.7,106.2,103.7,97.7,12,13,6,3031,77,90.4
Milan,487,870,1170,55,130.8,1753,70.3,61.5,23,79.6,72.1,88.3,77.2,61.8,18,15,16,3136,79.6,88.2
Montreal,519,630,1100,44.5,111.7,1783,76.2,66.2,13,81.8,73.7,93.1,80.9,68.1,19,14,14,3222,81.8,94.1
Moscow,314,820,1040,119,119.2,1800,30.4,33.8,25,66.1,61.2,45.9,51.2,44.8,18,7,12,2604,66.1,56.9
Mumbai,186,320,540,338,55.8,2251,8.5,9.3,20,34.1,31,24.9,27.3,28.9,56,30,31,1342,34.1,33.7
Munich,500,830,1130,42.5,125.8,1756,91.5,76,26,84.6,75.1,108.2,89.8,77,15,11,11,3333,84.6,90.5
Nairobi,292,220,280,292.5,32.5,2197,10.4,10.2,22,48.6,43.7,21.4,21,21.2,84,28,41,1913,48.6,52.8
New York,552,570,980,27.5,100,2062,100,100,13,100,100,100,100,100,10,13,6,3938,100,100
Nicosia,370,630,950,53.5,101.7,1779,60.8,68.5,22,63.9,56.9,95.1,107.2,86.8,12,8,9,2517,63.9,67
Oslo,599,840,1450,36,147.5,1749,119.1,97.4,25,116,104.5,102.7,84,71.2,18,11,12,4569,116,108.6
Paris,523,1020,1410,43.5,156.7,1558,78.1,73.6,30,83.9,77.5,93.1,87.7,65.1,16,15,13,3304,83.9,94.7
Prague,295,250,530,131.5,50,1829,24.5,25.1,21,54.3,48,45.2,46.2,40.8,34,13,16,2138,54.3,53.5
Riga,316,440,570,168.5,65,1806,24.2,21.4,23,54.5,47.1,44.4,39.3,34.4,33,23,22,2145,54.5,57.3
Rio de Janeiro,354,230,350,160,37.5,1895,27.2,27.5,30,61.2,55.5,44.5,45,40.7,45,33,12,2409,61.2,64.2
Rome,497,910,830,70,111.7,1899,55.1,48.2,22,79.1,73.8,69.6,60.9,53.7,23,17,19,3116,79.1,90
Santiago de Chile,348,360,610,157,62.5,2035,22.6,21.5,15,52.8,47.6,42.8,40.7,38.8,56,22,21,2080,52.8,63.1
Så‹o Paulo,379,300,600,106,57.5,1810,30.1,30.5,30,61.7,56.1,48.7,49.4,42,39,27,8,2431,61.7,68.7
Seoul,629,220,300,56,33.3,2308,54.8,50.2,14,67.8,66.3,80.8,74,78.2,17,14,10,2672,67.8,114
Shanghai,404,400,960,142,87.5,1967,20.9,21.6,9,56.1,49.6,37.3,38.4,36.6,29,43,9,2211,56.1,73.2
Sofia,265,270,430,247.5,45,1894,13.8,13.6,22,42.3,36.4,32.6,32.1,29.1,36,20,29,1667,42.3,48
Stockholm,553,760,1240,45,129.2,1795,82.9,78.1,26,91.9,81.7,90.2,84.9,74,17,19,11,3621,91.9,100.2
Sydney,509,580,820,32.5,90,1846,94.1,98,15,83.6,77.8,112.5,117.2,104.5,12,9,6,3294,83.6,92.1
Taipei,448,980,1070,79,132.5,2116,33.3,39.3,11,63.8,57.9,52.1,61.5,61.7,15,9,12,2513,63.8,81.1
Tallinn,333,610,830,139,92.5,1760,28,28.3,28,58.2,50.1,48,48.7,40.9,28,20,16,2294,58.2,60.4
Tel Aviv,477,440,580,99.5,65.8,1966,43,43.5,16,75.4,68.4,57,57.7,53.4,17,10,21,2968,75.4,86.3
Tokyo,927,1220,1880,35,199.2,2012,92.4,90.4,17,108.9,100,84.8,83,80.9,9,15,15,4289,108.9,168
Toronto,453,310,840,37.5,74.2,1847,76.8,68.6,14,74.3,67.2,103.4,92.3,80.4,11,11,10,2926,74.3,82.1
Vienna,504,980,1040,45.5,130,1786,80.2,70.8,25,81.3,72,98.6,87.1,74.9,14,9,9,3202,81.3,91.2
Vilnius,284,480,510,168.5,63.3,1789,21.7,21.2,24,50.8,43.5,42.6,41.7,36.1,33,19,34,2002,50.8,51.4
Warsaw,291,580,950,141,98.3,1793,23.8,21.9,23,53.7,47.9,44.3,40.8,34,36,13,24,2113,53.7,52.7
Zurich,704,1100,1190,22,147.5,1887,131.1,132.4,24,110.1,102.5,119.1,120.3,110.6,13,6,6,4334,110.1,127.5
