Rank,Athlete,Total Points,100 m hurdle points,100 m hurdles,HJ Points,HJ,SP Points,SP,200 m Points,200 m,LJ Points,LJ,JT Points,JT,800 m Points,800 m
27,"Hazel, LouiseLouise Hazel (GBR)",5856,1053,13.48,724,1.59,715,12.81,935,24.48,780,5.77,809,47.38,840,138.78
28,"Marcussen, IdaIda Marcussen (NOR)",5846,967,14.08,830,1.68,811,14.26,873,25.15,795,5.82,711,42.26,912,133.62
29,"McMillan, ChantaeChantae McMillan (USA)",5688,1052,13.49,830,1.68,856,14.92,864,25.25,663,5.37,856,49.78,567,160.55
30,"Oeser, JenniferJennifer Oeser (GER)",5455,1062,13.42,978,1.8,805,14.16,944,24.39,871,6.07,795,46.61,0,
31,"MÃ€chtig, JuliaJulia MÃ€chtig (GER)",5338,903,14.54,830,1.68,860,14.99,852,25.38,322,4.06,752,44.4,819,140.34
32,"Karpova, IrinaIrina Karpova (KAZ)",5319,949,14.21,830,1.68,640,11.68,849,25.42,759,5.7,586,35.75,706,148.93
33,"Fountain, HyleasHyleas Fountain (USA)",,1170,12.7,1054,1.86,660,11.99,1016,23.64,865,6.05,319,21.6,,
34,"Osazuwa, UhunomaUhunoma Osazuwa (NGR)",,1056,13.46,941,1.77,712,12.77,922,24.62,771,5.74,,,,
35,"TymiÅÑska, KarolinaKarolina TymiÅÑska (POL)",,1091,13.22,830,1.68,777,13.74,1009,23.71,,,,,,
36,"Dobrynska, NataliyaNataliya Dobrynska (UKR)",,1040,13.57,1016,1.83,864,15.05,915,24.69,242,3.7,,,,
37,"Aerts, SaraSara Aerts (BEL)",,1133,12.94,795,1.65,823,14.43,,,,,,,,
38,"Grabuste, AigaAiga Grabuste (LAT)",,1028,13.65,941,1.77,762,13.52,,,,,,,,
