Country,Year,Magnitude
ITALY,1783,6.1
ITALY,1783,6.7
ITALY,1783,6.1
ITALY,1783,7
ITALY,1784,4.4
ITALY,1784,4.4
PERU,1784,8
MEXICO,1787,8.3
MEXICO,1787,7.4
USA,1788,8
USA,1788,8
RUSSIA,1791,6.9
JAPAN,1791,6.6
GREECE,1791,7.1
JAPAN,1792,6.5
TAIWAN,1792,6.9
JAPAN,1793,7
JAPAN,1793,8.3
INDONESIA,1797,8
JAPAN,1799,6.5
JAPAN,1802,6.7
JAPAN,1804,7.4
PERU,1806,7.6
JAPAN,1808,6.6
JAPAN,1810,6.7
USA,1811,8.5
USA,1811,8
USA,1812,8.4
USA,1812,8.8
USA,1812,7.6
INDONESIA,1815,7.1
GREECE,1817,6.9
INDONESIA,1818,7.1
INDONESIA,1818,8.5
INDIA,1819,7.7
NORWAY,1819,6
MEXICO,1820,7.6
GREECE,1820,7
INDONESIA,1820,7.6
CHILE,1822,8.5
INDONESIA,1823,6.9
GREECE,1825,6.9
COLOMBIA,1827,7.1
PERU,1828,8.3
JAPAN,1828,6.5
TRINIDAD AND TOBAGO,1831,7.1
ALBANIA,1833,6.5
CHINA,1833,8
INDONESIA,1833,8.3
JAPAN,1833,7.5
JAPAN,1834,6.5
MEXICO,1834,7.1
CHILE,1835,8.2
JAPAN,1835,7.6
CHILE,1836,7.6
INDONESIA,1836,7.6
ISRAEL,1837,6.5
MEXICO,1837,6.6
INDONESIA,1837,7.4
MEXICO,1837,7.1
CHILE,1837,8.5
JAPAN,1839,7.4
INDONESIA,1840,7.1
PHILIPPINES,1840,6.6
INDONESIA,1841,6.2
HAITI,1842,8.1
BANGLADESH,1842,6.2
INDONESIA,1843,7.4
INDONESIA,1843,6.2
JAPAN,1843,8.4
INDONESIA,1845,7.1
MEXICO,1845,8
INDIA,1845,6.4
INDONESIA,1846,7.4
JAPAN,1846,7
ITALY,1846,6.3
CHILE,1847,7.4
FRENCH POLYNESIA,1848,6.6
NEW ZEALAND,1848,7.9
RUSSIA,1849,7.6
CHILE,1849,6.6
CHILE,1851,7.3
ALBANIA,1851,6.7
INDONESIA,1852,6.6
PHILIPPINES,1852,7.6
INDONESIA,1852,6.9
INDONESIA,1852,8.3
MEXICO,1852,7.1
INDONESIA,1852,7.1
VENEZUELA,1853,6.8
INDONESIA,1854,6.2
COSTA RICA,1854,7.3
COSTA RICA,1854,7.3
CHINA,1854,5.7
NEW ZEALAND,1855,8
JAPAN,1855,7.1
JAPAN,1855,7.1
JAPAN,1855,7.1
CHINA,1855,5
HONDURAS,1856,7.6
JAPAN,1856,8
GREECE,1856,6.7
PAPUA NEW GUINEA,1857,8
INDONESIA,1857,7.1
JAPAN,1857,6.5
CHILE,1858,6.6
INDONESIA,1858,7.4
INDONESIA,1859,7.1
INDONESIA,1859,7.4
EL SALVADOR,1859,6.3
INDONESIA,1859,6.9
CHILE,1859,7.6
EL SALVADOR,1859,7.1
INDONESIA,1861,8.5
INDONESIA,1861,7.1
INDONESIA,1861,7.1
INDONESIA,1861,6.9
INDONESIA,1861,6.6
JAPAN,1861,7.5
PHILIPPINES,1862,6.6
PHILIPPINES,1863,6.6
VANUATU,1863,7.6
JAPAN,1863,6.5
INDONESIA,1864,7.8
PHILIPPINES,1865,6.2
TONGA,1865,8
GREECE,1866,6.2
GREECE,1867,7.1
GREECE,1867,7.2
TAIWAN,1867,6.2
CHILE,1868,8.5
NEW ZEALAND,1868,7.6
PHILIPPINES,1869,7.1
CHILE,1869,6.9
CHILE,1869,7.6
UKRAINE,1869,5.8
MEXICO,1870,7.9
GREECE,1870,7.1
USA,1871,7.1
CHILE,1871,7.6
CHILE,1871,7.4
PERU,1872,6.6
PHILIPPINES,1872,6.2
JAPAN,1872,7.5
USA,1872,7.8
PAPUA NEW GUINEA,1873,8
NEW CALEDONIA,1875,8
VANUATU,1875,7.1
PAPUA NEW GUINEA,1875,7.1
INDONESIA,1876,6.9
CHILE,1877,8.3
VANUATU,1878,7.6
CHILE,1878,7.9
VANUATU,1878,8
TURKEY,1878,6.8
EGYPT,1879,6.1
PHILIPPINES,1880,7.6
CHILE,1880,7.7
NEW ZEALAND,1880,7
USA,1880,7.1
GREECE,1881,7.4
INDIA,1881,7.9
PANAMA,1882,8.3
INDONESIA,1882,7.6
TAIWAN,1882,6.4
PANAMA,1884,7.6
INDONESIA,1885,7.4
INDONESIA,1885,6.9
USA,1886,7.7
MEXICO,1887,8
CHINA,1888,7.6
PHILIPPINES,1889,6.9
INDONESIA,1889,8
INDONESIA,1889,6.2
IRAN,1890,7.3
NEW ZEALAND,1891,6.3
INDONESIA,1891,7.1
USA TERRITORY,1892,7.6
INDONESIA,1892,7.1
GREECE,1893,6.6
ALBANIA,1893,7.6
VANUATU,1893,6.2
JAPAN,1894,7.9
GREECE,1894,7
JAPAN,1894,7.1
SOLOMON SEA,1895,7.6
TURKMENISTAN,1895,8.2
NEW ZEALAND,1895,6
JAPAN,1896,8.3
INDONESIA,1896,6.9
JAPAN,1897,7.5
INDONESIA,1897,5.7
INDIA,1897,8
MEXICO,1897,7.1
JAPAN,1897,7.7
PHILIPPINES,1897,8.6
PHILIPPINES,1897,8.7
PHILIPPINES,1897,8.1
USA,1898,6.6
JAPAN,1898,7.3
CHILE,1898,6.6
GREECE,1899,6.7
USA,1899,8.2
USA,1899,8.2
INDONESIA,1899,7.8
USA,1899,6.5
PAPUA NEW GUINEA,1900,6.9
INDONESIA,1900,7.8
VENEZUELA,1900,8.4
BULGARIA,1901,7.3
JAPAN,1901,7.9
NEW CALEDONIA,1901,8.4
JAPAN,1901,8.2
JAPAN,1901,6.4
NICARAGUA,1901,7.1
USA,1901,7.8
GUATEMALA,1902,6.4
EL SALVADOR,1902,7.1
GUATEMALA,1902,7.6
TURKEY,1902,6.7
PHILIPPINES,1902,7.4
INDONESIA,1903,6.6
USA,1903,8.3
CHILE,1903,6.6
COLOMBIA,1904,7.9
RUSSIA,1904,8.3
RUSSIA,1904,8.1
INDIA,1905,7.8
JAPAN,1905,7.1
ITALY,1905,7.9
RUSSIA,1905,5.3
PHILIPPINES,1905,6.6
ECUADOR,1906,8.6
USA,1906,7.9
CHILE,1906,8.2
PAPUA NEW GUINEA,1906,8
ECUADOR,1906,7.9
PAPUA NEW GUINEA,1906,7.2
PERU,1906,7.9
INDONESIA,1907,7.8
INDONESIA,1907,7.4
MEXICO,1907,8.3
USA,1907,5.7
ITALY,1907,6.1
PAPUA NEW GUINEA,1907,7.5
INDONESIA,1908,7.6
USA,1908,6.2
INDONESIA,1908,6.7
USA,1908,6.9
PERU,1908,8.2
ITALY,1908,7.1
JAPAN,1909,6.8
JAPAN,1909,7.6
INDONESIA,1909,7.6
CHILE,1909,7.6
MEXICO,1909,7.8
JAPAN,1909,7
PAPUA NEW GUINEA,1910,6.2
VANUATU,1910,7.3
INDONESIA,1910,6.8
PHILIPPINES,1910,6.3
JAPAN,1911,8
PHILIPPINES,1911,7.8
CHILE,1911,7.4
JAPAN,1912,6.7
"MICRONESIA, FED. STATES OF",1912,7
NEW ZEALAND,1913,6.9
INDONESIA,1913,7.8
PERU,1913,7.1
PERU,1913,7.9
PAPUA NEW GUINEA,1913,7.1
JAPAN,1914,7.2
PERU,1914,7.3
INDONESIA,1914,8.1
INDONESIA,1914,7.6
GREECE,1914,6.4
GREECE,1915,6.8
JAPAN,1915,7.8
INDONESIA,1915,6.2
PHILIPPINES,1915,6.5
PAPUA NEW GUINEA,1916,7.9
PANAMA,1916,7.1
ITALY,1916,5.3
INDONESIA,1917,6.7
CHINA,1917,6.6
RUSSIA,1917,7.8
PHILIPPINES,1917,6.5
NEW ZEALAND,1917,8
TAIWAN,1917,6
SAMOA,1917,8.3
PAPUA NEW GUINEA,1917,7.7
CHINA,1918,7.4
CHILE,1918,7.9
CHINA,1918,5.7
PHILIPPINES,1918,8.3
RUSSIA,1918,8.3
USA TERRITORY,1918,7.3
RUSSIA,1918,7.8
CHILE,1918,7.8
PHILIPPINES,1919,7.5
FIJI,1919,8.3
TONGA,1919,8.1
PAPUA NEW GUINEA,1919,7.8
EL SALVADOR,1919,6.8
ITALY,1919,5.8
PAPUA NEW GUINEA,1920,7.7
CHILE,1920,7.1
NEW CALEDONIA,1920,7.8
CHINA,1920,7.8
ALBANIA,1920,5.8
INDONESIA,1921,6.3
INDONESIA,1921,7.6
PHILIPPINES,1921,7.6
PERU,1922,7.3
PAPUA NEW GUINEA,1922,7.6
PHILIPPINES,1922,6.4
PHILIPPINES,1922,6.2
TAIWAN,1922,7.6
CHILE,1922,8.5
NEW ZEALAND,1922,6.4
USA,1923,7.3
RUSSIA,1923,8.3
PHILIPPINES,1923,7.3
RUSSIA,1923,7.3
CHILE,1923,7.1
PHILIPPINES,1923,5.7
JAPAN,1923,7.9
JAPAN,1923,7.7
PAPUA NEW GUINEA,1923,7.3
PAPUA NEW GUINEA,1923,7.3
RUSSIA,1924,6.8
PHILIPPINES,1924,8.3
PHILIPPINES,1924,6.6
AUSTRALIA,1924,7.8
PHILIPPINES,1924,7.4
USA,1925,6.9
PHILIPPINES,1925,6.9
CHILE,1925,7.2
PHILIPPINES,1925,6.4
PHILIPPINES,1925,7.4
MEXICO,1925,7.1
INDONESIA,1926,6
ITALY,1926,5.5
SOLOMON ISLANDS,1926,7
CHILE,1926,6.2
JAPAN,1927,7.4
UKRAINE,1927,6.2
JAPAN,1927,7
JAPAN,1927,7
UKRAINE,1927,6.9
USA,1927,7.2
USA,1927,7.3
CHILE,1927,7.2
INDONESIA,1927,6.4
CANADA,1928,6
MEXICO,1928,7.7
TURKEY,1928,6.6
PERU,1928,7
GREECE,1928,6.2
GREECE,1928,5.2
GREECE,1928,5.4
PERU,1928,6.9
TURKEY,1928,4.6
PHILIPPINES,1928,7.1
MEXICO,1928,7.8
PERU,1928,7.1
CHILE,1928,7.2
CHILE,1928,7.6
PHILIPPINES,1928,7.4
USA,1929,7.8
CANADA,1929,7
PHILIPPINES,1929,7.3
NEW ZEALAND,1929,7.6
CANADA,1929,7.2
CHINA,1930,5.7
INDONESIA,1930,6.2
INDONESIA,1930,6.6
USA,1930,5.4
PAPUA NEW GUINEA,1930,7.1
ITALY,1930,6.1
PAPUA NEW GUINEA,1930,6.6
CHILE,1930,6.2
NEW ZEALAND,1931,7.8
NEW ZEALAND,1931,7.2
CHILE,1931,7.2
PAPUA NEW GUINEA,1931,7
INDONESIA,1931,7.5
SOLOMON ISLANDS,1931,7.8
MEXICO,1932,8.1
MEXICO,1932,7.8
MEXICO,1932,7
NEW ZEALAND,1932,6.9
GREECE,1932,7.3
CHILE,1933,7.6
JAPAN,1933,8.4
ECUADOR,1933,7
NEPAL,1934,8
PHILIPPINES,1934,7.9
PANAMA,1934,7.7
SOLOMON ISLANDS,1934,7.8
SOLOMON ISLANDS,1934,7.1
MEXICO,1934,7.1
CHILE,1934,7
PAKISTAN,1935,7.6
PAPUA NEW GUINEA,1935,7.8
INDONESIA,1935,6.6
CHINA,1935,6.2
INDONESIA,1935,7.9
INDONESIA,1936,7.7
CHILE,1936,7.4
INDONESIA,1936,7.4
PHILIPPINES,1937,7.6
INDONESIA,1938,8.5
CANADA,1938,6.4
PAPUA NEW GUINEA,1938,7.6
INDONESIA,1938,7.6
JAPAN,1938,6.3
JAPAN,1938,7.6
JAPAN,1938,7.7
JAPAN,1938,7.6
JAPAN,1938,7.6
JAPAN,1938,7.2
USA,1938,8.2
JAPAN,1938,6.2
CHILE,1939,8.3
PAPUA NEW GUINEA,1939,7.7
JAPAN,1939,6.7
CHILE,1939,7.5
SOLOMON ISLANDS,1939,7.9
JAPAN,1939,7.1
PHILIPPINES,1939,6.6
GHANA,1939,6.5
INDONESIA,1939,8
TURKEY,1939,7.7
ITALY,1940,5
PERU,1940,8.2
JAPAN,1940,7.6
CHILE,1940,7.4
CHILE,1940,7.1
PAPUA NEW GUINEA,1941,7.4
USA,1941,6.7
INDIA,1941,7.6
JAPAN,1941,7.5
ATLANTIC OCEAN,1941,8.3
COSTA RICA,1941,7.6
COSTA RICA,1941,7
COLOMBIA,1942,6
PERU,1942,8.2
CHILE,1943,8.2
JAPAN,1944,8.1
JAPAN,1945,7.2
PAKISTAN,1945,8
USA,1946,8.6
CHILE,1946,7.9
DOMINICAN REPUBLIC,1946,7.8
DOMINICAN REPUBLIC,1946,7.4
PERU,1946,7.1
JAPAN,1946,8.1
NEW ZEALAND,1947,7.1
NEW ZEALAND,1947,6.9
GREECE,1947,7.1
JAPAN,1947,7.1
PHILIPPINES,1948,8.3
GREECE,1948,7.2
INDONESIA,1948,6.3
MEXICO,1948,7
CHILE,1948,7.1
USA,1949,7.1
CHILE,1949,7.4
INDONESIA,1949,6.8
GREECE,1949,6.8
CANADA,1949,8.1
PHILIPPINES,1949,6.5
PAPUA NEW GUINEA,1949,7.5
CHILE,1949,7.8
CHILE,1949,7.8
PHILIPPINES,1949,7.3
CHILE,1950,7.1
NEW ZEALAND,1950,6
INDIA,1950,8.6
COSTA RICA,1950,7.7
INDONESIA,1950,7.6
GUATEMALA,1950,7.2
SOLOMON ISLANDS,1950,7.4
PERU,1950,7.1
MEXICO,1950,7.6
NICARAGUA,1951,6.2
TAIWAN,1951,7.4
CHINA,1951,6.4
JAPAN,1952,8.1
PHILIPPINES,1952,7.8
VANUATU,1952,7.3
RUSSIA,1952,9
PERU,1953,5.7
RUSSIA,1953,6
PAPUA NEW GUINEA,1953,7.4
DOMINICAN REPUBLIC,1953,7.3
GREECE,1953,7.3
CYPRUS,1953,6.6
FIJI,1953,6.9
JAPAN,1953,7.5
PERU,1953,7.5
CHINA,1954,7.4
ALGERIA,1954,6.8
JAPAN,1954,6.6
GREECE,1955,6.3
CHILE,1955,7.2
INDIA,1955,7.4
SOLOMON ISLANDS,1955,6.6
CHINA,1955,6.9
PAPUA NEW GUINEA,1955,7.4
CHILE,1956,7.2
GREECE,1956,7.8
GREECE,1956,6.9
JAPAN,1956,6.6
USA,1957,8.6
INDONESIA,1957,7.4
MEXICO,1957,7.9
CHILE,1957,7.1
INDONESIA,1957,6.2
COLOMBIA,1958,7.6
CHINA,1958,6.3
INDONESIA,1958,6.8
USA,1958,8.3
PACIFIC OCEAN,1958,6.3
RUSSIA,1958,8.3
PERU,1959,7.5
RUSSIA,1959,8.2
SOLOMON ISLANDS,1959,7.4
PERU,1960,7.8
MOROCCO,1960,6.1
JAPAN,1960,7.6
JAPAN,1960,6.8
CHILE,1960,7.4
CHILE,1960,9.5
PAPUA NEW GUINEA,1960,6.7
JAPAN,1960,6.8
CHILE,1960,7.5
RUSSIA,1961,6.6
JAPAN,1961,7.4
TURKEY,1961,6.6
COLOMBIA,1961,6.6
VANUATU,1961,7.3
SOLOMON ISLANDS,1961,6.4
RUSSIA,1961,6.8
CHILE,1961,6.6
MEXICO,1962,7.1
MEXICO,1962,7.3
JAPAN,1962,5.9
GREECE,1962,4.8
TAIWAN,1963,7.4
TURKEY,1963,6.3
PERU,1963,7.1
RUSSIA,1963,7.1
RUSSIA,1963,8.5
RUSSIA,1963,7.9
INDONESIA,1963,6.7
TONGA,1963,7.6
USA,1964,9.2
INDONESIA,1964,7.1
JAPAN,1964,7
JAPAN,1964,6.7
RUSSIA,1964,6.9
PAPUA NEW GUINEA,1964,7.6
INDONESIA,1965,7.6
USA,1965,8.7
CHILE,1965,7.1
GREECE,1965,6.4
CHILE,1965,6.2
USA,1965,7.6
RUSSIA,1965,7.3
USA,1965,6.6
GREECE,1965,6.4
VANUATU,1965,7.6
VANUATU,1965,7.4
MEXICO,1965,7.8
CHILE,1965,6.6
TAIWAN,1966,8
SOLOMON ISLANDS,1966,7.1
RUSSIA,1966,5.7
PERU,1966,8.1
CHILE,1966,7.8
SOLOMON ISLANDS,1966,7.8
SOLOMON ISLANDS,1966,7.2
RUSSIA,1967,7.1
INDONESIA,1967,5.7
INDONESIA,1967,6.3
VENEZUELA,1967,6.6
PAPUA NEW GUINEA,1967,6.5
PERU,1967,7.1
CHILE,1967,6.1
CHILE,1967,7.6
RUSSIA,1968,7.3
GREECE,1968,7.2
JAPAN,1968,7.6
ITALY,1968,3.9
JAPAN,1968,8.2
JAPAN,1968,7.3
KERMADEC ISLANDS (NEW ZEALAND),1968,7.4
PHILIPPINES,1968,7.4
INDONESIA,1968,7.6
TURKEY,1968,6.7
INDONESIA,1969,7.5
PORTUGAL,1969,7.8
EGYPT,1969,7.1
PAPUA NEW GUINEA,1969,5.6
RUSSIA,1969,8.2
RUSSIA,1969,7.4
GUADELOUPE,1969,7.3
PHILIPPINES,1970,7.6
USA,1970,6.2
PHILIPPINES,1970,7.4
RUSSIA,1970,6.6
PERU,1970,7.9
CHILE,1970,6.2
CHILE,1970,6.5
JAPAN,1970,7.1
NEW ZEALAND,1970,5.3
PHILIPPINES,1970,5.5
PAPUA NEW GUINEA,1970,7.4
CHILE,1970,6.2
RUSSIA,1970,5.3
USA,1971,7.2
CHILE,1971,7.6
PAPUA NEW GUINEA,1971,7.9
PAPUA NEW GUINEA,1971,7.9
JAPAN,1971,7.4
RUSSIA,1971,7.2
RUSSIA,1971,5.7
RUSSIA,1971,6.7
RUSSIA,1971,6.3
PAPUA NEW GUINEA,1971,7.1
RUSSIA,1971,6.3
USA,1971,5.9
RUSSIA,1971,7.8
TAIWAN,1972,7.6
JAPAN,1972,7.3
CHILE,1972,6.7
USA,1972,7.6
SOLOMON SEA,1972,7.2
PHILIPPINES,1972,7.5
JAPAN,1972,7.5
CHILE,1972,5.6
MEXICO,1973,7.6
RUSSIA,1973,7.3
PHILIPPINES,1973,7.6
JAPAN,1973,7.7
RUSSIA,1973,7.2
RUSSIA,1973,6.7
CHILE,1973,6.8
SOLOMON ISLANDS,1974,7.1
SOLOMON ISLANDS,1974,7.2
JAPAN,1974,6.6
CHILE,1974,7.2
RUSSIA,1974,6.8
PERU,1974,8.1
PAKISTAN,1974,6.3
INDONESIA,1975,6.1
CHILE,1975,7
ATLANTIC OCEAN,1975,7.7
RUSSIA,1975,7.1
PAPUA NEW GUINEA,1975,7.9
PHILIPPINES,1975,7.6
USA,1975,7.7
SAMOA,1975,7.8
KERMADEC ISLANDS (NEW ZEALAND),1976,8
RUSSIA,1976,7.1
GUATEMALA,1976,7.6
PHILIPPINES,1976,8.1
SAMOA,1977,7.6
SOLOMON ISLANDS,1977,6.9
SOLOMON ISLANDS,1977,7.6
SOLOMON ISLANDS,1977,8.1
TONGA,1977,7.3
INDONESIA,1977,8
PAPUA NEW GUINEA,1977,5.7
TONGA,1977,7.3
JAPAN,1978,6.7
RUSSIA,1978,6.8
RUSSIA,1978,6.7
RUSSIA,1978,6.9
RUSSIA,1978,7.6
RUSSIA,1978,7.6
JAPAN,1978,7.7
PHILIPPINES,1978,7
GREECE,1978,6.5
TAIWAN,1978,7.5
SPAIN,1978,4.7
MEXICO,1978,7.7
JAPAN,1979,6.5
USA,1979,7.2
MEXICO,1979,7.6
SERBIA AND MONTENEGRO,1979,5.5
SERBIA AND MONTENEGRO,1979,7
GREECE,1979,5.8
INDONESIA,1979,7.9
FIJI,1979,7
COLOMBIA,1979,7.7
AZORES (PORTUGAL),1980,6.8
RUSSIA,1980,7.1
USA,1980,5.4
JAPAN,1980,6.3
SOLOMON ISLANDS,1980,7.9
ALGERIA,1980,7.7
JAPAN,1981,7
GREECE,1981,6.8
NEW ZEALAND,1981,7.6
SAMOA,1981,7.7
MEXICO,1981,7.4
PHILIPPINES,1982,7.2
INDONESIA,1982,5.6
INDONESIA,1982,6.5
JAPAN,1982,6.8
JAPAN,1982,6.9
TONGA,1982,7.7
INDONESIA,1982,6.1
JAPAN,1982,6.3
GREECE,1983,7.3
INDONESIA,1983,6.6
PAPUA NEW GUINEA,1983,7.6
JAPAN,1983,7.7
JAPAN,1983,5.8
JAPAN,1983,7
GREECE,1983,7.1
RUSSIA,1983,6.6
PHILIPPINES,1983,6.6
CHILE,1983,7.4
UK TERRITORY,1983,7.6
INDONESIA,1984,6.7
GREECE,1984,5.6
RUSSIA,1984,7.1
JAPAN,1984,5.7
JAPAN,1984,6.8
JAPAN,1984,7
RUSSIA,1984,7.1
CHILE,1985,8
GUADELOUPE,1985,6.4
PAPUA NEW GUINEA,1985,7.3
MEXICO,1985,8.1
MEXICO,1985,7.6
USA,1986,8
USA,1986,6.4
KERMADEC ISLANDS (NEW ZEALAND),1986,8.1
TAIWAN,1986,7.8
JAPAN,1987,6.4
PAPUA NEW GUINEA,1987,7.6
CHILE,1987,7.4
JAPAN,1987,6.8
JAPAN,1987,5.3
VANUATU,1987,6.7
TONGA,1987,7.4
PAPUA NEW GUINEA,1987,6.9
PAPUA NEW GUINEA,1987,7.7
USA,1987,7.2
INDONESIA,1987,6.6
USA,1987,7.9
CHILE,1988,6.8
USA,1988,7.6
PAPUA NEW GUINEA,1988,6.9
MYANMAR (BURMA),1988,7.3
SOLOMON ISLANDS,1988,7.6
AUSTRALIA,1989,8.2
USA,1989,6.3
USA,1989,7
USA,1989,6.9
JAPAN,1989,6.7
ALGERIA,1989,5.9
USA TERRITORY,1989,4.7
JAPAN,1989,7.5
PHILIPPINES,1990,6.7
JAPAN,1990,6.5
COSTA RICA,1990,7.1
USA TERRITORY,1990,7.6
JAPAN,1990,6.6
ITALY,1990,5.5
TAIWAN,1990,6.4
SOLOMON ISLANDS,1991,6.9
RUSSIA,1991,5.9
BERING SEA,1991,6.7
COSTA RICA,1991,7.6
SOLOMON ISLANDS,1991,7.2
RUSSIA,1991,7.6
CHINA,1992,4
USA,1992,7.2
PHILIPPINES,1992,7.6
SOLOMON ISLANDS,1992,7.1
JAPAN,1992,7.1
JAPAN,1992,6.4
NICARAGUA,1992,7.3
INDONESIA,1992,7.8
JAPAN,1993,6.3
RUSSIA,1993,7.5
,1993,6.6
,1993,6.5
JAPAN,1993,7.7
JAPAN,1993,6.3
USA TERRITORY,1993,7.8
RUSSIA,1993,7
USA,1994,6.7
INDONESIA,1994,7
JAPAN,1994,6.4
TAIWAN,1994,6.5
INDONESIA,1994,7.8
INDONESIA,1994,6.6
INDONESIA,1994,6.1
USA,1994,7
RUSSIA,1994,8.3
INDONESIA,1994,6.8
RUSSIA,1994,7.3
PHILIPPINES,1994,7.1
JAPAN,1994,7.8
JAPAN,1995,6.9
SAMOA,1995,7.4
PHILIPPINES,1995,7.2
PHILIPPINES,1995,6.8
GREECE,1995,6.6
INDONESIA,1995,7
NEW CALEDONIA,1995,7.7
RUSSIA,1995,7.2
GREECE,1995,6.5
CHILE,1995,8
PAPUA NEW GUINEA,1995,7.7
MEXICO,1995,7.4
MEXICO,1995,8
JAPAN,1995,7.1
JAPAN,1995,6.8
CHILE,1995,6.7
EGYPT,1995,7.2
RUSSIA,1995,7.9
INDONESIA,1996,7.9
INDONESIA,1996,8.2
PERU,1996,7.5
MEXICO,1996,7.1
USA,1996,7.9
USA,1996,7.3
JAPAN,1996,5.7
CHILE,1996,6.9
JAPAN,1996,6.6
JAPAN,1996,6.7
PERU,1996,7.7
JAPAN,1996,6.7
SOLOMON ISLANDS,1997,7.7
VENEZUELA,1997,7
JAPAN,1997,6.2
TONGA,1997,7.7
RUSSIA,1997,7.8
ANTARCTICA,1998,8.1
TAIWAN,1998,7.5
PAPUA NEW GUINEA,1998,7
INDONESIA,1998,7.7
TURKEY,1999,7.6
VANUATU,1999,7.5
GREECE,2000,5.5
INDONESIA,2000,7.6
AUSTRALIA,2000,7.9
JAPAN,2000,6.1
