Season	AvgWindSpeed	Month	Day	DayofYear	AvgTempC	AvgTempF	MaxWindSpeed	AvgBarom	Precip
Winter	0.21	3	8	67	-5.06	22.9	10.74	1026.57	0
Winter	3.86	3	9	68	-1.67	29	27.18	1028.69	0
Winter	5.21	3	10	69	0.81	33.46	22.8	1018.16	0.29
Winter	2.65	3	11	70	5.26	41.47	24.77	1002.91	0.47
Winter	1.28	3	12	71	2.05	35.7	18.41	1002.2	0.02
Winter	3.04	3	13	72	2.09	35.76	26.08	1008.62	0.14
Winter	1.35	3	14	73	0.11	32.19	19.95	1019.17	0
Winter	1.63	3	15	74	0.35	32.64	13.37	1023.51	0
Winter	1.78	3	16	75	2.63	36.73	19.73	1013.98	0.52
Winter	1.52	3	17	76	6.45	43.61	16.44	1013.03	0
Winter	2.37	3	18	77	8.61	47.51	30.47	1005.31	0.04
Winter	3.18	3	19	78	2.36	36.25	24.99	1016.76	0
Winter	0.83	3	20	79	-0.34	31.39	11.18	1027.94	0
Winter	2.45	3	21	80	0.37	32.67	20.82	1013.44	0.27
Winter	2.93	3	22	81	1.61	34.9	20.6	1007.03	0.01
Winter	1.64	3	23	82	-2.01	28.38	10.74	1004.59	0
Winter	2.49	3	24	83	-1.5	29.3	17.32	1000.63	0.01
Winter	2.79	3	25	84	-3.27	26.11	29.59	1006.1	0
Winter	3.63	3	26	85	-4.31	24.24	23.89	1007.45	0
Winter	3.54	3	27	86	-3.61	25.49	24.55	1006.53	0
Winter	5.56	3	28	87	-1.94	28.51	25.43	1006.34	0
Winter	2.67	3	29	88	-0.81	30.55	20.6	1010.79	0
Winter	1.54	3	30	89	3.12	37.61	15.34	1012.12	0
Winter	2.2	3	31	90	4.02	39.23	16	1005.29	0
Summer	1.97	4	1	91	0.45	32.81	17.1	991.46	0.35
Summer	3.68	4	2	92	3.48	38.26	24.77	991.94	0.01
Summer	4.43	4	3	93	5.27	41.49	27.62	1004.01	0
Summer	2.12	4	4	94	4.42	39.95	22.14	1001.22	0.66
Summer	3.37	4	5	95	4.92	40.85	26.96	990.18	0.41
Summer	3.62	4	6	96	2.92	37.26	27.84	1005.54	0
Summer	1.2	4	7	97	2.99	37.39	14.91	1013.24	0
Summer	0.55	4	8	98	3.51	38.32	12.49	1016.56	0
Summer	0.73	4	9	99	6.27	43.29	13.15	1014.83	0
Summer	2.85	4	10	100	9.21	48.57	19.73	1012.46	0
Summer	3.77	4	11	101	17.29	63.12	25.21	999.27	0
Summer	3.81	4	12	102	12.36	54.24	27.4	1007.15	0.01
Summer	4.26	4	13	103	6.68	44.03	36.83	1010.14	0.29
Summer	3.07	4	14	104	8.85	47.92	21.48	1010.95	0.01
Summer	1.86	4	15	105	4.9	40.81	13.59	1023.39	0
Summer	5.47	4	16	106	3.11	37.59	25.65	1016.64	0.29
Summer	3.2	4	17	107	7.17	44.91	28.5	997	1.41
Summer	3.61	4	18	108	5.61	42.11	29.15	1007.54	0.04
Summer	1.75	4	19	109	4.41	39.95	11.4	1013.49	0.17
Summer	4.99	4	20	110	6.59	43.85	22.8	1007	0.07
Summer	4.06	4	21	111	4.14	39.45	32.88	1013.47	0
Summer	1.45	4	22	112	4.4	39.92	13.81	1023.69	0
Summer	3.07	4	23	113	4.53	40.16	22.36	1013.8	0.41
Summer	1.62	4	24	114	12.23	54.01	17.76	1010.5	0
Summer	0.48	4	25	115	10.78	51.41	14.25	1012.93	0.03
Summer	3.01	4	26	116	18.67	65.6	25.21	1008.61	0.25
Summer	3.21	4	27	117	19.99	67.99	32.88	1008.36	0.25
Summer	3.13	4	28	118	18.27	64.89	33.1	1000.11	0.62
Summer	1.21	4	29	119	9.92	49.86	17.32	1002.6	0.02
Summer	2	4	30	120	8.82	47.88	20.6	1012.97	0
Summer	0.84	5	1	121	11.46	52.64	12.06	1019.08	0
Summer	1.64	5	2	122	11.82	53.27	17.97	1017.45	0
Summer	2.3	5	3	123	17.51	63.52	28.72	1013.07	0
Summer	0.93	5	4	124	8.74	47.73	17.97	1009.2	0.89
Summer	2.04	5	5	125	6	42.8	21.7	1007.15	0.23
Summer	2.48	5	6	126	11.23	52.22	19.73	1006.3	0
Summer	1.16	5	7	127	11.35	52.43	16.88	1005.44	0
Summer	1.61	5	8	128	10.98	51.76	17.54	1008.59	0
Summer	2.24	5	9	129	11.05	51.89	25.43	1010.87	0
Summer	2.2	5	10	130	12.02	53.64	19.95	1011.8	0
Summer	0.81	5	11	131	14.08	57.35	14.25	1014.22	0
Summer	1.08	5	12	132	14.83	58.7	11.84	1012.56	0
Summer	1.02	5	13	133	14.04	57.26	22.58	1008.46	0
Summer	1	5	14	134	13.82	56.88	13.15	1004.71	0.23
Summer	0.62	5	15	135	13.13	55.64	12.49	1000.51	0.54
Summer	2.53	5	16	136	10.99	51.78	17.97	1004.41	0.04
Summer	2.34	5	17	137	11.4	52.53	15.12	1012.01	0.02
Summer	2.32	5	18	138	13.31	55.95	15.78	1013.99	0.18
Summer	1.4	5	19	139	16.23	61.21	14.47	1012.78	0.34
Summer	0.46	5	20	140	16.15	61.07	10.74	1010.17	0.47
Summer	0.33	5	21	141	14.52	58.14	10.52	1010.38	0.18
Summer	1.11	5	22	142	14.92	58.86	15.56	1014.81	0
Summer	2.24	5	23	143	13.81	56.86	16.44	1010.39	0.11
Summer	0.94	5	24	144	18.77	65.78	15.56	1003.13	0.05
Summer	0.85	5	25	145	16.8	62.25	9.86	1008.8	0
Summer	2.29	5	26	146	20.92	69.66	20.39	1007.73	0
Summer	0.68	5	27	147	21.06	69.91	33.32	1009.9	0.2
Summer	1.9	5	28	148	21.53	70.76	19.07	1012.12	0
Summer	1.47	5	29	149	22.51	72.53	20.82	1013.27	0
Summer	1.01	5	30	150	22.66	72.79	13.59	1014.31	0
Summer	0.25	5	31	151	21.41	70.54	7.89	1017.75	0
Summer	0.93	6	1	152	21.91	71.43	16.22	1010.36	0.31
Summer	3.93	6	2	153	14.74	58.54	38.8	1007.42	0
Summer	1.77	6	3	154	12.27	54.09	20.6	1011.72	0
Summer	0.48	6	4	155	12.93	55.27	13.37	1013.39	0
Summer	0.52	6	5	156	15.39	59.7	9.64	1012.78	0
Summer	0.75	6	6	157	17.66	63.78	10.3	1012.1	0
Summer	0.46	6	7	158	19.73	67.52	10.96	1009.13	0
Summer	0.33	6	8	159	21.79	71.22	15.56	1008.06	0
Summer	0.45	6	9	160	20.65	69.18	26.3	1007.05	0.88
Summer	0.57	6	10	161	18.73	65.71	13.81	1011.17	0.01
Summer	1.86	6	11	162	13.88	56.98	16.88	1012.73	0.91
Summer	1.55	6	12	163	13.39	56.1	13.59	1008.24	0.05
Summer	0.21	6	13	164	14.37	57.86	9.86	1007.55	0
Summer	0.34	6	14	165	12.69	54.84	12.49	1008.15	0.15
Summer	0.83	6	15	166	15.8	60.45	14.03	1007.33	0
Summer	0.36	6	16	167	18.37	65.07	9.43	1008.4	0
Summer	0.19	6	17	168	16.49	61.69	16.66	1007.78	1.11
Summer	0.52	6	18	169	19.04	66.27	12.49	1006.14	0
Summer	0.94	6	19	170	15.67	60.21	14.47	1007.04	0.01
Summer	0.57	6	20	171	15.6	60.07	10.74	1008.34	0
Summer	0.39	6	21	172	18.18	64.73	10.08	1008.91	0
Summer	0.32	6	22	173	16.55	61.8	10.52	1008.93	1.79
Summer	0.91	6	23	174	17.01	62.63	13.15	1005.34	0.28
Summer	1.96	6	24	175	15.15	59.27	16.22	1003.88	0.34
Summer	0.78	6	25	176	16.14	61.05	11.18	1005.35	0.5
Summer	0.22	6	26	177	17.42	63.36	7.01	1009.41	0.01
Summer	0.23	6	27	178	18.96	66.13	7.67	1012.01	0
Summer	0.28	6	28	179	20.03	68.05	26.08	1008.34	0.57
Summer	1.16	6	29	180	17.8	64.05	16.22	1006.74	0.14
Summer	1.89	6	30	181	18.34	65.01	17.32	1008.85	0
Summer	0.51	7	1	182	16.25	61.25	12.06	1011.64	0
Summer	0.23	7	2	183	19.07	66.33	8.11	1012.73	0
Summer	0.12	7	3	184	18.66	65.58	8.11	1007.61	0.1
Summer	0.55	7	4	185	21.32	70.38	10.74	1006.43	0
Summer	0.13	7	5	186	20.45	68.82	9.64	1008.94	0
Summer	0.53	7	6	187	20.23	68.42	24.77	1009.01	0.68
Summer	0.52	7	7	188	19.7	67.45	14.69	1009.87	0.01
Summer	0.28	7	8	189	19.25	66.65	9.21	1008.06	0.03
Summer	0.97	7	9	190	20.13	68.24	16	1007.18	0.02
Summer	0.4	7	10	191	19.17	66.51	9.64	1013.16	0
Summer	0.39	7	11	192	22.86	73.14	10.74	1008.7	0
Summer	1.76	7	12	193	24.65	76.37	16.44	1001.92	0
Summer	0.92	7	13	194	19.63	67.33	24.11	1004.27	0.06
Summer	0.83	7	14	195	17.93	64.27	14.25	1011.62	0
Summer	0.52	7	15	196	17.82	64.08	10.52	1014.24	0
Summer	0.14	7	16	197	19.41	66.94	7.67	1016.11	0
Summer	0.48	7	17	198	21.77	71.19	10.96	1014.87	0
Summer	0.63	7	18	199	21.91	71.43	21.26	1009.05	0.06
Summer	0.56	7	19	200	21.08	69.94	10.52	1007.44	0.01
Summer	0.32	7	20	201	21.32	70.38	11.18	1007.92	0
Summer	0.71	7	21	202	26.55	79.78	16.88	1003.79	0
Summer	0.87	7	22	203	27.57	81.62	13.81	1006.94	0
Summer	0.7	7	23	204	24	75.2	16	1009.03	0.01
Summer	0.56	7	24	205	22.74	72.94	12.71	1009.8	0
Summer	0.7	7	25	206	17.51	63.52	12.06	1008.63	0.38
Summer	0.68	7	26	207	19.17	66.5	15.34	1002.99	0.19
Summer	0.73	7	27	208	18.74	65.74	14.47	1008	0
Summer	0.24	7	28	209	19.92	67.86	7.67	1013.41	0
Summer	0.92	7	29	210	22.18	71.93	18.19	1008.29	0.18
Summer	0.78	7	30	211	21.33	70.4	14.91	1009.55	0
Summer	0.31	7	31	212	20.31	68.56	9.86	1012.87	0.01
Summer	0.67	8	1	213	22.15	71.88	12.49	1007.75	0
Summer	1.12	8	2	214	20.75	69.34	21.92	1003.43	0
Summer	0.13	8	3	215	18	64.4	8.77	1003.93	0
Summer	0.25	8	4	216	20.67	69.2	10.96	1009.29	0
Summer	0.08	8	5	217	20.93	69.67	8.11	1013.88	0.01
Summer	0.34	8	6	218	20.85	69.53	14.91	1011.71	0.69
Summer	0.19	8	7	219	22.5	72.5	13.37	1001.73	0.36
Summer	0.92	8	8	220	21.9	71.41	13.59	998.87	0
Summer	0.39	8	9	221	19	66.2	10.96	999.72	0.27
Summer	0.63	8	10	222	20.52	68.94	10.74	998.12	0.23
Summer	1.25	8	11	223	18.46	65.22	16.88	1005.39	0
Summer	0.74	8	12	224	17.86	64.15	11.4	1011.07	0
Summer	0.13	8	13	225	18.49	65.28	7.45	1013.23	0
Summer	0.12	8	14	226	18.85	65.92	10.74	1009	0.6
Summer	0.23	8	15	227	16.96	62.52	10.52	1004.08	1.9
Summer	0.32	8	16	228	16.64	61.96	10.74	1006.82	0.09
Summer	0.24	8	17	229	18.49	65.29	9.43	1014.72	0.01
Summer	0.22	8	18	230	19.53	67.16	12.06	1011.39	0
Summer	0.37	8	19	231	20.56	69	11.4	1008.94	0.02
Summer	0.39	8	20	232	19.13	66.43	8.77	1010.73	0
Summer	1.02	8	21	233	19.38	66.88	17.1	1007.6	0.44
Summer	1.85	8	22	234	17.25	63.06	23.67	1005.33	0.13
Summer	0.53	8	23	235	15.04	59.08	12.71	1011.15	0
Summer	1.35	8	24	236	17.52	63.53	17.54	1011.73	0
Summer	1.75	8	25	237	19.98	67.96	18.85	1006.96	0.27
Summer	0.42	8	26	238	19.42	66.96	10.3	1011.27	0
Summer	0.1	8	27	239	19.73	67.52	5.26	1008.19	0.18
Summer	2.53	8	28	240	18.33	65	31.78	988.26	4.98
Summer	0.81	8	29	241	13.92	57.06	22.14	1007.39	0
Summer	0.32	8	30	242	15.71	60.27	11.84	1014.97	0
Summer	0.13	8	31	243	16.8	62.23	7.23	1017.63	0
Summer	0.23	9	1	244	19.55	67.2	9.21	1016.88	0
Summer	0.4	9	2	245	19.31	66.75	12.71	1014.29	0
Summer	0	9	3	246	19.84	67.72	4.6	1009.51	0
Summer	0.73	9	4	247	22.36	72.25	18.63	1007.14	0.23
Summer	0.2	9	5	248	19.27	66.69	11.62	1005.47	2.15
Summer	0.08	9	6	249	15.45	59.8	6.79	1012.73	1.06
Summer	0.98	9	7	250	14.39	57.9	12.28	1016.96	1.87
Summer	0.15	9	8	251	17.32	63.18	9.64	1013.17	0.47
Summer	0.74	9	9	252	18.43	65.18	16	1007.37	0
Summer	0.36	9	10	253	15.64	60.15	10.52	1010.04	0.01
Summer	0.46	9	11	254	15.43	59.78	14.91	1013.58	0.01
Summer	0.09	9	12	255	17.69	63.84	9.21	1010.7	0
Summer	0.69	9	13	256	18.96	66.13	13.15	1007.75	0
Summer	0.22	9	14	257	18.18	64.73	17.54	1008.63	0
Summer	0.39	9	15	258	12.29	54.12	18.19	1009.16	0.24
Summer	1.38	9	16	259	8.13	46.64	17.97	1018.13	0
Summer	0.06	9	17	260	8.39	47.11	9.21	1024.87	0
Summer	0.45	9	18	261	10.26	50.47	12.06	1025.16	0.01
Summer	0.44	9	19	262	9.95	49.91	10.52	1019.24	0
Summer	0.29	9	20	263	13.04	55.48	10.08	1013.97	0.19
Summer	0.38	9	21	264	16.09	60.97	11.62	1017.73	0.01
Summer	0.06	9	22	265	18.43	65.17	11.62	1014.78	0.73
Summer	0.16	9	23	266	18.28	64.9	9.86	1014.01	0.65
Summer	0.09	9	24	267	19.35	66.82	7.01	1012.28	0.02
Summer	0.41	9	25	268	17.66	63.79	14.69	1014.35	0
Summer	0.15	9	26	269	18.43	65.18	10.08	1011.43	0.01
Summer	0.12	9	27	270	19.33	66.8	11.18	1010.88	0
Summer	1.79	9	28	271	18.78	65.81	18.41	1011.19	0.3
Summer	0.8	9	29	272	15.74	60.32	13.15	1001.49	1.55
Summer	0.62	9	30	273	15.03	59.05	18.85	1000.17	0.01
Winter	1.04	10	1	274	9.01	48.22	14.25	1001.95	0.36
Winter	0.3	10	2	275	11.42	52.55	11.84	1005.44	0.19
Winter	0.16	10	3	276	10.9	51.61	12.49	1011.06	0.09
Winter	0.9	10	4	277	11.04	51.88	15.34	1010.92	0.21
Winter	1.43	10	5	278	10.48	50.86	19.73	1013.71	0
Winter	0.84	10	6	279	5.83	42.49	16.88	1020.5	0
Winter	0.3	10	7	280	8.09	46.56	8.33	1024.31	0
Winter	0.21	10	8	281	12.06	53.71	8.99	1025.08	0
Winter	0.3	10	9	282	14.8	58.64	10.08	1022.72	0
Winter	0.41	10	10	283	15.65	60.17	12.71	1018.28	0.01
Winter	0.31	10	11	284	14.27	57.68	9.43	1017.26	0
Winter	1.51	10	12	285	12.33	54.19	14.03	1015.35	0
Winter	2.07	10	13	286	14.01	57.22	15.34	1005.84	0.17
Winter	2	10	14	287	14.94	58.89	21.92	994.39	1.06
Winter	2.7	10	15	288	11.17	52.11	24.55	994.96	0.11
Winter	1.99	10	16	289	10.8	51.45	23.67	1000.9	0.14
Winter	1.55	10	17	290	9.76	49.56	22.58	999.39	0.04
Winter	0.84	10	18	291	9.81	49.66	16.44	1005	0
Winter	2.36	10	19	292	10.91	51.63	21.48	1003.69	0.14
Winter	3.4	10	20	293	13.22	55.79	27.18	993.22	0.16
Winter	1.13	10	21	294	9.78	49.6	17.97	1004.31	0
Winter	1.32	10	22	295	8.25	46.85	12.28	1011.12	0
Winter	0.37	10	23	296	6.06	42.91	9.64	1013.44	0
Winter	1.27	10	24	297	7.65	45.78	17.54	1010.88	0.24
Winter	3.21	10	25	298	7.63	45.74	25.21	1009.24	0.01
Winter	0.11	10	26	299	5.38	41.69	5.48	1005.59	0.16
Winter	0.74	10	27	300	2.38	36.29	9.21	1002.36	0.97
Winter	0.52	10	28	301	-0.48	31.14	12.06	1014.89	0.06
Winter	0.89	10	29	302	-0.81	30.53	17.97	1013.25	0.44
Winter	2.16	10	30	303	0.25	32.45	23.45	1013.01	0.4
Winter	0.35	10	31	304	1.06	33.9	13.15	1021.18	0
Winter	0.2	11	1	305	2.66	36.78	7.23	1020.92	0
Winter	0.32	11	2	306	3.89	39.01	9.21	1020.26	0
Winter	0.34	11	3	307	5.25	41.45	8.11	1010.73	0
Winter	2.58	11	4	308	4.06	39.31	21.26	1013.13	0
Winter	0.68	11	5	309	0.05	32.09	12.06	1023.35	0
Winter	0.33	11	6	310	2.46	36.43	10.08	1023.28	0
Winter	0.31	11	7	311	6.08	42.95	9.64	1018.8	0
Winter	0.37	11	8	312	11.67	53	11.84	1017.92	0
Winter	1.47	11	9	313	11.69	53.04	18.85	1014.08	0
Winter	2.78	11	10	314	11.92	53.45	17.76	1004.32	0.01
Winter	3.54	11	11	315	2.83	37.09	27.4	998.31	0.02
Winter	1.81	11	12	316	4.26	39.67	18.19	1009.21	0
Winter	2.22	11	13	317	8.19	46.74	21.26	1010.1	0
Winter	2.5	11	14	318	11.18	52.13	24.99	1003.47	0.14
Winter	1.65	11	15	319	11.53	52.75	18.41	1004.1	0.02
Winter	0.46	11	16	320	8.01	46.41	15.56	1004.94	0.28
Winter	3.46	11	17	321	3.41	38.14	28.06	1004.54	0
Winter	2.71	11	18	322	-0.57	30.97	22.8	1016.76	0
Winter	2.39	11	19	323	3.68	38.63	21.48	1017.86	0
Winter	2.6	11	20	324	10.73	51.31	22.14	1011.98	0
Winter	1.82	11	21	325	2.23	36.02	19.95	1018.86	0
Winter	0.77	11	22	326	-0.06	31.89	15.12	1019.69	0.27
Winter	2.95	11	23	327	1.39	34.51	24.11	1004.26	1.39
Winter	0.84	11	24	328	0.5	32.9	15.78	1013.29	0
Winter	0.26	11	25	329	4.6	40.27	11.18	1012.6	0
Winter	0.32	11	26	330	7.18	44.93	11.84	1014.88	0
Winter	1.65	11	27	331	7.73	45.92	21.26	1013.58	0
Winter	0.92	11	28	332	12.93	55.27	18.63	1012.44	0
Winter	2.38	11	29	333	14.06	57.31	23.24	1007.66	0.28
Winter	3.93	11	30	334	9.69	49.44	26.96	995.98	0.11
Winter	1.89	12	1	335	-0.25	31.55	18.63	1014.81	0
Winter	1.34	12	2	336	0.71	33.27	13.81	1019.92	0
Winter	0.53	12	3	337	0.57	33.02	8.33	1028.75	0
Winter	2.25	12	4	338	3.72	38.69	22.58	1024.1	0
Winter	0.74	12	5	339	8.43	47.18	16.22	1018.66	0
Winter	1.77	12	6	340	10.49	50.88	17.1	1010.24	0.58
Winter	1.32	12	7	341	2.76	36.96	14.47	1002.83	1.9
Winter	0.8	12	8	342	-1.46	29.36	20.82	1007.51	0.51
Winter	0.49	12	9	343	-1.37	29.53	16.22	1017.27	0
Winter	2.74	12	10	344	-1.61	29.11	21.26	1018.14	0
Winter	0.37	12	11	345	-4.87	23.23	9.64	1026.94	0
Winter	0.11	12	12	346	-3.04	26.52	6.36	1025.28	0
Winter	0.61	12	13	347	-3.08	26.46	11.18	1021.44	0
Winter	0.29	12	14	348	1.11	34	10.74	1020.75	0
Winter	4.21	12	15	349	5.56	42.01	26.52	1006.94	0.35
Winter	4.85	12	16	350	3.5	38.3	34.41	1007.63	0.25
Winter	2.28	12	17	351	-2.5	27.51	18.63	1012.24	0
Winter	1.23	12	18	352	-10.09	13.84	12.06	1016.26	0
Winter	1.7	12	19	353	-1.94	28.5	18.63	1009.56	0
Winter	2.12	12	20	354	-0.72	30.71	17.76	1012.26	0
Winter	1.65	12	21	355	5.46	41.82	17.32	1004.09	0.45
Winter	1.96	12	22	356	6.19	43.13	29.37	1008.97	0.07
Winter	2.2	12	23	357	0.95	33.71	29.59	1009.76	0.58
Winter	1.74	12	24	358	-6.82	19.72	14.47	1021.14	0
Winter	2.25	12	25	359	-2.83	26.91	21.48	1013.63	0
Winter	3.73	12	26	360	1.08	33.94	25.21	1010.02	0
Winter	2.04	12	27	361	1.14	34.05	22.58	1003.2	0.8
Winter	4.34	12	28	362	-0.22	31.6	39.46	992.26	0.04
Winter	1.66	12	29	363	-8.37	16.94	20.17	1006.5	0
Winter	0.59	12	30	364	-0.96	30.26	10.08	1009.44	0
Winter	1	12	31	365	4.01	39.21	13.81	1006.44	0.02
