Year,Manufacturer,Model,MSRP,Displacement,Engine Type,Cooling,Fuel System,Ignition,Starting System,Transmission,Wheel Base,Seat Height,Front Suspension,Rear Suspension,Front Brake,Rear Brake,Front Tire,Rear Tire,Fuel Capacity,Dry Weight,Bore,Stroke,Ratio,Weight,Rake,Trail,Tank,Air-Cooled
2014,KTM,50 SX,3849,49,"1-cylinder 2-stroke engine, water-cooled, with reed intake",Liquid-Cooled,NA,SELETTRA 2p D36,Backup Kickstarter,Multi-disc automatic clutch on the main shaft/centrifugal force,40.6,26.9,WP Suspension USD 35 / 8.07,WP Suspension 3614 BAEM / 7.28,Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,,,0.60 gal.,87.7 lbs.,39.5,40,,87.7,,,0.6,Liquid
2014,KTM,450 SX-F,8999,449.3,1-cylinder 4-stroke,Water-Cooled,NA,Contactless controlled fully electronic ignition w/digital ignition adjustment,Electric,"Five speed, claw shifted, DDS-Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,1.98 gal.,236.6 lbs.,95,63.4,,236.6,,,1.98,Liquid
2014,KTM,450 XC-F,9649,449.3,1-cylinder 4-stroke,Water-Cooled,Digital Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"Five speed, claw shifted, DDS-Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.4 gal.,241.4 lbs.,95,63.4,,241.4,,,2.4,Liquid
2014,KTM,350 XC-F,9499,349.7,1-cylinder 4-stroke,Water-Cooled,Digital Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"Six Speed, claw shifted, CSS Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.4 gal.,237.4 lbs.,88,57.5,,237.4,,,2.4,Liquid
2014,KTM,65 SX,4549,64,"1-cylinder 2-stroke engine, water-cooled, with reed intake and exhaust control",Water-Cooled,NA,Non-contact controlled fully electronic ignition system w/digital ignition adjustment,Backup Kickstarter,"Six Speed, claw shifted",44.7,29.5,WP Suspension USD 35 / 8.46,WP Suspension 3614 BAVP / 10.63,Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,,,0.92 gal.,122.4 lbs.,45,40.8,,122.4,,,0.92,Liquid
2014,KTM,85 SX,5399,84.9,"1-cylinder 2-stroke engine, water-cooled, with reed intake and exhaust control",Water-Cooled,NA,Moric Digital 2M1,Kickstart,"Six Speed, claw shifted",50.7,33.6,WP Suspension 4357 MXMA / 10.6,WP Suspension PDS 4618 BAVP D / 11.8,Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,,,1.32 gal.,150 lbs.,47,48.9,,150,,,1.32,Liquid
2014,KTM,50 SX Mini,3299,49,"1-cylinder 2-stroke engine, water-cooled, with reed intake",Water-Cooled,NA,SELETTRA 2p D36,Backup Kickstarter,Multi-disc automatic clutch on the main shaft/centrifugal force,35.9,21.9,WP Suspension USD 35 / 3.94,WP Suspension 3614 BAEM / 6.73,Disc brake with four-pot brake caliper,Disc brake with two-pot brake caliper,,,0.58 gal.,86 lbs.,39.5,40,,86,,,0.58,Liquid
2014,KTM,500 EXC,10099,510.4,1-cylinder 4-stroke,Water-Cooled,Electronic fuel injection and 42mm throttle body,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric starter/kick starter,DDS Multidisc clutch in oil bath / hydraulically activated,58.3,38.1,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.25 gal.,245.8 lbs.,95,72,,245.8,,,2.25,Liquid
2014,Suzuki,DR-Z125L,3199,124,"Sport-shock, OHC",Air-Cooled,MIKUNI VM20SS,Electronic ignition (CDI),Primary Kick,Five-speed constant mesh,50,32,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Disc,Drum,"70/100-19 42M, tube type","90/100-16 52M, tube type",1.1 gal.,196 lbs. (Wet),57,48,9.5,196,,,1.1,Air
2014,Suzuki,RM-Z250,7599,249,"4-stroke, single cylinder, DOHC",Liquid-Cooled,Fuel Injection,Electronic ignition (CDI),Primary kick,5-speed constant mesh,58.1,37.6,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Disc brake,Disc brake,"80/100-21 51M, tube type","100/90-19 57M, tube type",1.7 gal.,235 lbs. (Wet),77,53.6,13.5,235,,,1.7,Liquid
2014,Suzuki,RM-Z450,8699,449,"4-stroke, single cylinder, DOHC",Liquid-Cooled,Fuel Injection,Electronic ignition (CDI),Primary kick,5-speed constant mesh,58.9,37.6,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Disc brake,Disc brake,"80/100-21 51M, tube type","110/90-19 62M, tube type",1.6 gal.,249 lbs. (Wet),96,62.1,12.5,249,,,1.6,Liquid
2014,Yamaha,PW50,1440,49,"Two-stroke, reed-valve inducted",Air-Cooled,VM12 carburetor,CDI,NA,Wet centrifugal automatic,33.7,19.1,Telescopic fork; 2.4-in travel,Unit swingarm; 2.0-in travel,Drum,Drum,2.50-10-4PR,2.50-10-4PR,.53 gal.,86 lbs.,40,39.2,6,86,,,0.53,Air
2014,Yamaha,TT-R125LE,3290,124,"Four-stroke, two valves, SOHC",Air-Cooled,Mikuni VM20 carburetor,CDI,Push Button Electric Start,Constant-mesh 5-speed; multiplate wet clutch,50,31.7,"31 mm Telescopic fork, adjustable preload ; 7.1- travel","Single shock, adjustable compression and rebound; 6.6- travel",220 mm single disc,110 mm drum,70/100-19 42M,90/100-16 52M,1.60 gal.,198 lbs. (Wet),54,54,10,198,,,1.6,Air
2014,Yamaha,TT-R230,3990,223,"Four-stroke, two valves, SOHC",Air-Cooled,Carburetor,CDI,Electric,Constant-mesh Six-speed; multiplate wet clutch,54.5,34.3,Telescopic fork; 9.4- travel,Single shock; 8.7- travel,220 mm single disc,130 mm drum,80/100-21 NHS,100/100-18 NHS,2.1 gal.,251 lbs. (Wet),70,58,9.5,251,,,2.1,Air
2014,Yamaha,TT-R110E,2240,110,"Four-stroke, SOHC",Air-Cooled,Mikuni VM16 carburetor,CDI,Electric push button,"Constant-mesh four-speed/wet, multiple disc",42.5,26.4,"31 mm Telescopic fork, coil spring/oil damper, 4.5- travel","Swingarm (Monocross), coil spring/gas-oil damper, 4.3- travel",95 mm drum,110 mm drum,2.50-14-4PR,3.00-12-4PR,1.0 gal.,159 lbs. (Wet),51,54,9.3,159,,,1,Air
2013,Beta,EVO 125,7099,124,"Single cylinder, 2-stroke",Liquid-Cooled,Keihin PWK 28 mm,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Six Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21‰ Michelin Trial,18‰ Michelin Trial,.75 gal.,146 lbs.,54,54,14,146,,,0.75,Liquid
2013,Beta,EVO 200,7199,194.6,"Single cylinder, 2-stroke",Liquid-Cooled,Mikuni VM 26 mm,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Six Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21 Michelin Trial,18‰ Michelin Trial,0.75,146 lbs.,64,60.5,11.8,146,,,0.75,Liquid
2013,Beta,EVO 250,7699,249.7,"Single cylinder, Two-stroke",Liquid-Cooled,Keihin PWK 28mm,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Six Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21‰ Michelin Trial,18‰ Michelin Trial,.75 gal.,147 lbs.,72.5,60.5,8.9,147,,,0.75,Liquid
2013,Beta,Evo 300,7899,299,"Single cylinder, two stroke",Liquid-Cooled,Keihin PWK 28 mm,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Six Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21‰ Michelin Trial,18‰ Michelin Trial,.75 gal.,147 lbs.,79,60.5,10,147,,,0.75,Liquid
2013,Beta,EVO 4T 250,7999,249.6,"Single cylinder, four-stroke",Liquid-Cooled,Mikuni CV,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Five-Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21‰ Michelin Trial,18‰ Michelin Trial,.70 gal.,156.5 lbs.,77,53.6,14.7,156.5,,,0.7,Liquid
2013,Beta,EVO 4T 300,7999,297.3,"Single cylinder, 4-stroke",Liquid-Cooled,Mikuni CV,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Five-Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21‰ Michelin Trial,18‰ Michelin Trial,.70 gal.,156.5 lbs.,84,53.6,11.5,156.5,,,0.7,Liquid
2013,Beta,Evo 300 SS,8199,299,"Single cylinder, two stroke",Liquid-Cooled,Keihin PWK 28 mm,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Six Speed,58.3,36.6,38 mm Paioli,"Single shock, aluminum bodied including linkage, adjustable dampening",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,21‰ Michelin Trial,18‰ Michelin Trial,.75 gal.,147 lbs.,79,60.5,14.7,147,,,0.75,Liquid
2013,Beta,Evo 80 Sr,4599,79.6,Single cylinder two stroke,Liquid-Cooled,Della Orto 21 mm,"Electronic 12 volt, 85 watt w/ dual-map switch (aggressive or soft settings)",NA,Six Speed,48.4,,38 mm Paioli,"Single shock, adjustable dampening & spring preload",185 mm rotor w/ 4-piston caliper,160 mm rotor w/ twin-piston caliper,Michelin Trial 21 inch,Michelin Trial 18 inch,0.7 gal.,145.5 lbs.,48,44,9.4,145.5,,,0.7,Liquid
2013,Beta,EVO Junior 80,3999,79.6,"Single cylinder, 2-stroke",Liquid-Cooled,Della Orto 21 mm,Electronic,NA,Six Speed,47.6,24.4,33 mm Paioli,"Single shock, adjustable dampening & spring preload",175 mm rotor w/ 4-piston caliper,150 mm rotor w/ twin-piston caliper,Trial Type,Trial Type,0.7 gal.,132.2 lbs.,48,44,14.7,132.2,,,0.7,Liquid
2013,Honda,CRF110F,1999,109,"Single cylinder, 4-stroke, SOHC, 2-Valve",Air-Cooled,13 mm piston-valve carburetor,CDI,Electric,Four-speed with automatic clutch,41.9,26.3,31.0 mm telescopic fork; 3.9 inches travel,Single-shock; 3.4 inches of travel,Drum,Drum,70/100-14,80/100-12,"1.1 gallons, including 0.3-gallon reserve",163 lbs. (Wet),50,55.6,9,163,24.25,2,1.1,Air
2013,Honda,CRF100F,2880,99,"Single cylinder, 4-stroke, SOHC, 2-Valve",Air-Cooled,22 mm piston-valve carburator,CD,Kick Start,Five-Speed,49.2,30.9,27.0 mm leading-axle Showa fork; 5.2-inch travel,Pro-Link Showa single shock; 5.8-inch travel,Drum,Drum,2.50-19,3.00-16,"1.3 gallons, including 0.3-gallon reserve",170 lbs. (Wet),53,45,9.4,170,28.5,3.9,1.3,Air
2013,Honda,CRF150F,3640,149,"Single cylinder, 4-stroke, SOHC, 2-Valve",Air-Cooled,24 mm piston-valve carburetor,CDI,Electric Push Button,Five-Speed,52.3,32.8,35 mm leading-axle Showa fork; 9.1 inches travel,Pro-Link Showa single-shock; 8.9 inches travel,Single 240 mm disc,Drum,70/100-19,90/100-16,"1.9 gallons, including 0.4-gallon reserve",233.9  (Wet),57.3,57.8,9.5,233.9,26.2,3.4,1.9,Air
2013,Honda,CRF230F,4170,223,"Single-cylinder four-stroke, SOHC; two-valve",Air-Cooled,26 mm piston-valve carburetor,CD,Electric Push Button,Six Speed,54.1,34.1,37 mm leading-axle Showa? fork; 9.5 inches travel,Pro-Link Showa single shock with spring-preload adjustability; 9.0 inches travel,Single 240 mm disc,Drum,80/100-21,100/100-18,"1.9 gallons, including 0..4 gallon reserve",249 lbs. (Wet),65.5,66.2,9,249,27.3,4.4,1.9,Air
2013,Honda,CRF250R,7420,249,"Single-cylinder 4-stroke; Unicam, 4-valve; 30.5 mm intake titanium; 25 mm exhaust",Liquid-Cooled,"Programmed Fuel Injection (PGM-FI), 46 mm throttle body",Full transistor with electronic advance,NA,Close-ratio five-speed,58.6,37.4,48 mm inverted Showa cartridge fork with 16-position rebound,"Pro-Link Showa single shock w/spring preload, 17-position rebound damping",Single 240 mm disc with twin-piston caliper,Single 240 mm disc,Dunlop MX51FA 80/100-21,Dunlop MX51 100/90-19,1.5 gal.,227 lbs. (Wet),76.8,53.8,13.2,227,27.23,4.6,1.5,Liquid
2013,Honda,CRF250X,7410,249,"Single cylinder, four stroke, Unicam, four valve, 35 mm intake valve, 30 mm exhaust",Liquid-Cooled,Keihin 37 mm flat-slide carburetor with Throttle Position Sensor (TPS),CD with electronic advance and lighting coil,Electric and Kick Start,Wide-ratio five-speed,58.3,37.7,47mm inverted Showa cartridge fork w/16-position rebound-16-position compression-damping,Pro-Link Showa single shock with spring-preload adjustability; 12.3 inches travel,Single 240 mm disc with twin-piston caliper,Single 240 mm disc,80/100-21,100/100-18,1.9 gal.,254 lbs. (Wet),78,52.2,12.9,254,27.54,4.7,1.9,Liquid
2013,Honda,CRF150R,4990,149,"Single Cylinder, 4-stroke, Unicam, 4-valve; 26 mm intake, 22.5 mm exhaust, steel",Liquid-Cooled,Keihin 32 mm flat slide with Throttle Position Sensor (TPS),Solid-state CD with electronic advance,NA,Close-ratio five speed,49.6,32.8,37mm fully adjustable leading-axle inverted Showa cartridge fork; 10.8 inches travel,Pro-Link fully adjustable Showa single shock; 10.7 inches travel,Single 220 mm disc,Single 190 mm disc,70/100-17 Dunlop MX51,90/100-14,1.11 gal.,185 lbs.,66,43.7,11.7,185,27.02,3.1,1.11,Liquid
2013,Honda,CRF450R,8440,449,"Single cylinder, four-stroke, Unicam, four-valve, 36 mm intake, titanium",Liquid-Cooled,"Programmed Fuel Injection (PGM-FI), 46 mm throttle body",Full transistor with electronic advance,NA,Close ratio five speed,58.7,37.5,48 mm inverted KYB PSF (Pneumatic Spring Fork) with rebound and compression,"Pro-Link KYB single shock with spring preload, rebound damping adjustability",Single 240 mm disc with twin-piston caliper,Single 240 mm disc,80/100-21 Dunlop MX51FA,120/80-19 Dunlop MX51,1.66 gal.,242.7 lbs. (Wet),96,62.1,12.5,242.7,27.04,4.57,1.66,Liquid
