Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
HRCVX,Eagle Growth & Income A,7.87%,9.57%,17.03%,12.31%,4.55%,9.94%,5.50%,7.79%
EHSTX,Eaton Vance Large-Cap Value A,6.16%,11.08%,17.45%,9.66%,0.60%,7.73%,5.18%,9.12%
EICVX,EIC Value Fund Class A,4.03%,6.97%,11.27%,,,,4.74%,8.04%
VFCAX,Federated Clover Value A,8.21%,14.07%,16.91%,12.26%,2.40%,9.44%,5.89%,9.53%
LEIFX,Federated Equity-Income A,6.50%,8.38%,13.75%,13.39%,3.44%,7.99%,5.39%,8.24%
QAACX,Federated MDT All Cap Core A,8.83%,15.75%,18.07%,11.75%,-0.43%,,6.38%,6.83%
FSTKX,Federated MDT Stock Svc,14.12%,22.29%,22.30%,13.94%,4.54%,7.84%,8.02%,11.38%
SVAAX,Federated Strategic Value Dividend A,3.40%,3.79%,14.49%,14.23%,3.29%,,4.57%,5.53%
FADVX,Frost Dividend Value Equity A,5.55%,8.73%,7.09%,7.97%,,,6.02%,3.22%
GTMEX,Glenmede Large Cap Value,8.49%,13.11%,15.60%,12.56%,4.23%,8.64%,5.11%,8.34%
SECIX,Guggenheim Large Cap Value A,10.40%,14.93%,17.12%,10.76%,1.48%,7.66%,6.27%,8.53%
HHGAX,Hancock Horizon Value A,10.46%,13.78%,15.10%,12.80%,1.96%,8.78%,6.03%,6.73%
HFCVX,Hennessy Cornerstone Value Investor,7.21%,9.55%,17.15%,13.61%,3.31%,7.65%,5.48%,6.10%
HLVFX,Hennessy Large Value Investor,8.86%,12.92%,18.96%,12.58%,2.06%,6.62%,6.40%,9.68%
HDOGX,Hennessy Total Return Investor,3.23%,3.04%,10.55%,12.71%,2.62%,6.05%,4.32%,3.88%
HWCAX,Hotchkis and Wiley Diversified Value A,8.79%,14.87%,18.47%,12.93%,0.77%,,5.28%,3.86%
HWLAX,Hotchkis and Wiley Large Cap Value A,8.42%,14.75%,18.73%,13.29%,0.28%,6.92%,5.67%,5.58%
HDCAX,Huntington Dividend Capture A,4.88%,8.06%,11.95%,12.32%,3.43%,6.48%,4.65%,5.88%
LEXCX,ING Corporate Leaders Trust Series B,7.38%,10.18%,17.57%,18.96%,6.69%,11.27%,5.99%,10.62%
IEDAX,ING Large Cap Value A,5.99%,10.65%,16.33%,14.81%,6.33%,,5.40%,5.36%
JRSTX,INTECH U.S. Value Fund Class T,8.66%,13.97%,19.82%,14.14%,,,6.51%,17.98%
JVLAX,JHancock3 Disciplined Value A,8.16%,14.23%,20.56%,13.80%,4.88%,9.42%,5.84%,7.39%
OIEIX,JPMorgan Equity Income A,5.81%,8.69%,15.62%,15.66%,5.53%,8.49%,5.33%,8.12%
VGRIX,JPMorgan Growth & Income A,6.67%,12.25%,20.59%,13.90%,3.37%,7.32%,5.22%,11.30%
JIVAX,JPMorgan Intrepid Value A,7.45%,14.09%,18.77%,13.25%,2.80%,,5.52%,4.80%
JVAAX,JPMorgan Value Advantage A,6.51%,12.03%,20.22%,15.12%,5.93%,,5.46%,7.51%
JVOAX,JPMorgan Value Opportunities A,8.69%,16.34%,17.06%,10.84%,1.97%,7.30%,6.44%,5.10%
LEVOX,Lazard US Equity Concentrated Open,8.52%,16.24%,16.95%,11.51%,2.25%,,5.66%,4.28%
MSYAX,Managers AMG Systematic Value Inv,8.25%,13.84%,17.66%,11.90%,0.94%,,6.64%,2.49%
MDFSX,Manning & Napier Dividend Focus Series Class S,5.83%,7.60%,,,,,4.98%,9.62%
MAVFX,Matrix Advisors Value,9.40%,12.73%,11.01%,6.50%,-0.20%,5.70%,8.07%,6.63%
